School Name,"% IndepStudents, LowIncome $0-$30,000",% Independent Students,"% DepStudents, LowIncome $0-$30,000","% aided students family income $0-$30,000",% First Generation Students,"% First Gen, Parents w/College","% First Gen, Parents w/MiddleSchool","% First Gen, Parents w/HighSchool","% FirstGenStudents, Completed 2 Years","% FirstGenStudents, Completed 3 Years","% FirstGenStudents, Completed 4 Years","% FirstGenStudents, Completed 6 Years","% FirstGenStudents, Completed 8 Years",% Students W/Bachelors Degree at 25 Years Old,% Students Born Within the U.S.,% Population of White Students by ZIP Code,% Population of Hispanic Students by ZIP Code,% Population of Black Students by ZIP Code,% Population of Asian Students by ZIP Code,% Students W/Professional Deg at 25YrsbyZIP,% IndepStudents Completed 2 Years,% IndepStudents Completed 3 Years,% IndepStudents Completed 4 Years,% IndepStudents Completed 6 Years,% IndepStudents Completed 8 Years,% IndepStudents Withdrawn 2 Years,% IndepStudents Withdrawn 3 Years,% IndepStudents Withdrawn 4 Years,% IndepStudents Withdrawn 6 Years,% IndepStudents Withdrawn 8 Years,% DepStudents Completed 2 Years,% DepStudents Completed 3 Years,% DepStudents Completed 4 Years,% DepStudents Completed 6 Years,% DepStudents Completed 8 Years,% DepStudents Withdrawn 2 Years,% DepStudents Withdrawn 3 Years,% DepStudents Withdrawn 4 Years,% DepStudents Withdrawn 6 Years,% DepStudents Withdrawn 8 Years,% NonFirstGenStudents Completed 2 Years,% NonFirstGenStudents Completed 3 Years,% NonFirstGenStudents Completed 4 Years,% NonFirstGenStudents Completed 6 Years,% NonFirstGenStudents Completed 8 Years,% NonFirstGenStudents Withdrawn 2 Years,% NonFirstGenStudents Withdrawn 3 Years,% NonFirstGenStudents Withdrawn 4 Years,% NonFirstGenStudents Withdrawn 6 Years,% NonFirstGenStudents Withdrawn 8 Years,% FirstGenStudents Completed 2 Years,% FirstGenStudents Completed 3 Years,% FirstGenStudents Completed 4 Years,% FirstGenStudents Completed 6 Years,% FirstGenStudents Completed 8 Years,% FirstGenStudents Withdrawn 2 Years,% FirstGenStudents Withdrawn 3 Years,% FirstGenStudents Withdrawn 4 Years,% FirstGenStudents Withdrawn 6 Years,% FirstGenStudents Withdrawn 8 Years,id,Latitude,Longitutde
South University-Richmond,69.63237287,78.48433290999999,51.33443163,65.69544875,47.228833730000005,52.77116627,5.185311120000001,42.043522610000004,3.90625,5.0169491525,4.5916746107,7.2459016392999995,7.9836829837,1464.99996185302,9106.99996948242,6522.00012207031,661.00001335144,2855.99994659423,174.000000953674,784.9999904632571,18.1165423916,21.6164053076,23.7084099649,19.1937644623,11.2759643917,35.1008008837,32.5211097708,33.8739341247,34.4172451589,36.7745497205,10.9988776655,15.5268022181,15.926708949999998,12.933618843700001,12.3542274052,37.037037037,29.944547134900002,26.990838618700003,23.1691648822,24.3075801749,21.875,27.805486284300002,31.7359855335,24.2836676218,16.527079843699997,27.2321428571,24.6882793017,25.045207956600002,23.9971346705,26.800670016799998,15.8072916667,19.0056497175,20.5433746425,16.8196721311,10.858585858600001,36.9270833333,33.3107344633,33.8735303464,33.1366120219,35.7161357161,45925900,3764.706,-7759.996700000001
South University-Virginia Beach,69.63237287,78.48433290999999,51.33443163,65.69544875,47.228833730000005,52.77116627,5.185311120000001,42.043522610000004,3.90625,5.0169491525,4.5916746107,7.2459016392999995,7.9836829837,1464.99996185302,9106.99996948242,6522.00012207031,661.00001335144,2855.99994659423,174.000000953674,784.9999904632571,18.1165423916,21.6164053076,23.7084099649,19.1937644623,11.2759643917,35.1008008837,32.5211097708,33.8739341247,34.4172451589,36.7745497205,10.9988776655,15.5268022181,15.926708949999998,12.933618843700001,12.3542274052,37.037037037,29.944547134900002,26.990838618700003,23.1691648822,24.3075801749,21.875,27.805486284300002,31.7359855335,24.2836676218,16.527079843699997,27.2321428571,24.6882793017,25.045207956600002,23.9971346705,26.800670016799998,15.8072916667,19.0056497175,20.5433746425,16.8196721311,10.858585858600001,36.9270833333,33.3107344633,33.8735303464,33.1366120219,35.7161357161,45926800,3683.3599999999997,-7612.428800000001
Herzing University-Kenosha,72.17582418,85.92471358,51.96779964,69.33148684,52.09032652,47.909673479999995,5.5691181,46.52120842,2.1881123449,2.1430926475,2.4670109007,3.4028203556000003,4.585753592200001,1517.00000762939,9369.00024414062,8183.99963378906,561.00001335144,1163.00001144409,189.999997615814,751.000022888183,26.7457180501,32.9537612146,33.2840673958,34.3679275784,31.9344262295,31.884057971,32.2291235335,29.530002956,24.2159715487,23.4754098361,24.6153846154,38.3944153578,37.043478260899995,39.255499154,31.3271604938,30.1923076923,25.6544502618,26.7826086957,20.8121827411,24.8456790123,30.1619433198,39.9543378995,41.7372881356,45.497630331799996,40.7494145199,27.3279352227,26.0273972603,24.7881355932,17.2985781991,19.6721311475,25.8327890268,32.9706561161,32.759609868,33.8136112814,30.6634056863,32.331809275,31.8826244642,29.718875501999996,24.4941753525,24.2433506573,45984200,4258.2628,-8782.0105
Herzing University-Brookfield,72.17582418,85.92471358,51.96779964,69.33148684,52.09032652,47.909673479999995,5.5691181,46.52120842,2.1881123449,2.1430926475,2.4670109007,3.4028203556000003,4.585753592200001,1517.00000762939,9369.00024414062,8183.99963378906,561.00001335144,1163.00001144409,189.999997615814,751.000022888183,26.7457180501,32.9537612146,33.2840673958,34.3679275784,31.9344262295,31.884057971,32.2291235335,29.530002956,24.2159715487,23.4754098361,24.6153846154,38.3944153578,37.043478260899995,39.255499154,31.3271604938,30.1923076923,25.6544502618,26.7826086957,20.8121827411,24.8456790123,30.1619433198,39.9543378995,41.7372881356,45.497630331799996,40.7494145199,27.3279352227,26.0273972603,24.7881355932,17.2985781991,19.6721311475,25.8327890268,32.9706561161,32.759609868,33.8136112814,30.6634056863,32.331809275,31.8826244642,29.718875501999996,24.4941753525,24.2433506573,45985100,4303.5738,-8811.099400000001
Strayer University-Global Region,71.82544063,91.63154523,68.17082998000001,71.51960618999999,53.729403379999994,46.27059662,4.92222548,48.8071779,1.5035263117,2.0963216958,2.5689223058,4.4509303174,6.284210526300001,1727.0000457763601,9006.99996948242,5966.999816894529,588.000011444091,3215.0001525878897,307.99999237060496,935.999965667724,4.9922720247,9.543758092800001,13.7868284229,16.2902059993,13.7455608941,42.7511591963,43.5905247924,37.720970537300005,33.0231297434,36.6617923543,2.7948193592,4.8387096774,8.6476540938,8.676470588199999,7.6335877863,51.3974096796,49.158485273500006,40.8463661454,35.294117647099995,35.4961832061,6.7819148936,12.2460824144,14.9828178694,17.6912568306,17.3796791444,40.7579787234,41.903656413200004,37.2508591065,34.2896174863,32.709447415300005,4.533829342,8.658042394,13.1310418904,15.1587012039,12.642105263200001,43.966519414100006,44.4357855362,38.0862871464,33.1357168916,37.0,45999400,3890.485,-7703.400100000001
Pima Medical Institute-Houston,72.16981132,62.48351819,46.16497829,62.413712870000005,50.53929122,49.460708780000004,9.66872111,40.870570109999996,0.5395968894000001,0.46279155869999994,0.5633290932,1.2197187871,1.356350185,1502.0000457763601,8440.00015258789,7101.00021362304,2720.99990844726,507.000017166137,463.000011444091,769.999980926513,67.30557391500001,69.00102986610001,68.07106598979999,68.5586434291,68.446943078,14.1220533157,13.2595262616,12.944162436500001,11.4225153085,10.2834387444,70.4053109713,70.2011735122,71.1462450593,72.3172628305,71.3677034512,14.6750524109,13.2439228835,11.7391304348,9.5645412131,9.629314017899999,70.0,70.9677419355,71.1478800414,71.25683060109999,72.3109691161,10.3636363636,11.2903225806,11.1685625646,8.087431694,7.774227902,68.2431360102,69.2151055165,68.94421224790001,69.7780789429,69.0153249956,15.029360419000001,13.569048500600001,12.7021624568,11.1299339319,10.4280429804,46013600,2983.8306,-9556.2287
Chamberlain University-Virginia,34.56484479,86.31780822,28.1938326,33.69315068,47.309798,52.690202,5.86495501,41.444842990000005,8.051507004400001,9.369771333000001,9.8553980065,11.2482614743,15.604827392599999,1528.9999961853,9355.00030517578,8001.999664306641,509.99999046325604,1353.9999961853,205.99999427795402,798.0000019073481,36.731413261899995,47.7396986265,48.9666351479,50.9471919531,48.950484391799996,10.006697923599999,11.37484998,13.4810212076,16.0100586756,17.1151776103,27.6640790402,48.3742534837,50.5434782609,47.6068376068,47.395171537500005,8.8920254058,12.076974120800001,15.1494565217,19.7435897436,18.8055908513,32.6721763085,49.781897491799995,51.0844748858,50.4699927693,49.8936170213,9.696969697,12.2682660851,15.8105022831,18.076644974700002,19.148936170200002,35.9558511391,47.350808700500004,48.7715850063,50.3824756606,48.358125175400005,9.8627423235,11.293920803099999,13.2528429033,16.2726008345,16.9520067359,46087100,3891.0459,-7722.0505
Chamberlain University-Missouri,34.56484479,86.31780822,28.1938326,33.69315068,47.309798,52.690202,5.86495501,41.444842990000005,8.051507004400001,9.369771333000001,9.8553980065,11.2482614743,15.604827392599999,1528.9999961853,9355.00030517578,8001.999664306641,509.99999046325604,1353.9999961853,205.99999427795402,798.0000019073481,36.731413261899995,47.7396986265,48.9666351479,50.9471919531,48.950484391799996,10.006697923599999,11.37484998,13.4810212076,16.0100586756,17.1151776103,27.6640790402,48.3742534837,50.5434782609,47.6068376068,47.395171537500005,8.8920254058,12.076974120800001,15.1494565217,19.7435897436,18.8055908513,32.6721763085,49.781897491799995,51.0844748858,50.4699927693,49.8936170213,9.696969697,12.2682660851,15.8105022831,18.076644974700002,19.148936170200002,35.9558511391,47.350808700500004,48.7715850063,50.3824756606,48.358125175400005,9.8627423235,11.293920803099999,13.2528429033,16.2726008345,16.9520067359,46692100,3870.1906999999997,-9043.6283
Chamberlain University-Texas,34.56484479,86.31780822,28.1938326,33.69315068,47.309798,52.690202,5.86495501,41.444842990000005,8.051507004400001,9.369771333000001,9.8553980065,11.2482614743,15.604827392599999,1528.9999961853,9355.00030517578,8001.999664306641,509.99999046325604,1353.9999961853,205.99999427795402,798.0000019073481,36.731413261899995,47.7396986265,48.9666351479,50.9471919531,48.950484391799996,10.006697923599999,11.37484998,13.4810212076,16.0100586756,17.1151776103,27.6640790402,48.3742534837,50.5434782609,47.6068376068,47.395171537500005,8.8920254058,12.076974120800001,15.1494565217,19.7435897436,18.8055908513,32.6721763085,49.781897491799995,51.0844748858,50.4699927693,49.8936170213,9.696969697,12.2682660851,15.8105022831,18.076644974700002,19.148936170200002,35.9558511391,47.350808700500004,48.7715850063,50.3824756606,48.358125175400005,9.8627423235,11.293920803099999,13.2528429033,16.2726008345,16.9520067359,46693000,2983.8386,-9556.0414
South University-Savannah Online,69.63237287,78.48433290999999,51.33443163,65.69544875,47.228833730000005,52.77116627,5.185311120000001,42.043522610000004,3.90625,5.0169491525,4.5916746107,7.2459016392999995,7.9836829837,1464.99996185302,9106.99996948242,6522.00012207031,661.00001335144,2855.99994659423,174.000000953674,784.9999904632571,18.1165423916,21.6164053076,23.7084099649,19.1937644623,11.2759643917,35.1008008837,32.5211097708,33.8739341247,34.4172451589,36.7745497205,10.9988776655,15.5268022181,15.926708949999998,12.933618843700001,12.3542274052,37.037037037,29.944547134900002,26.990838618700003,23.1691648822,24.3075801749,21.875,27.805486284300002,31.7359855335,24.2836676218,16.527079843699997,27.2321428571,24.6882793017,25.045207956600002,23.9971346705,26.800670016799998,15.8072916667,19.0056497175,20.5433746425,16.8196721311,10.858585858600001,36.9270833333,33.3107344633,33.8735303464,33.1366120219,35.7161357161,47512100,3199.9481,-8110.5531
Chamberlain University-Georgia,34.56484479,86.31780822,28.1938326,33.69315068,47.309798,52.690202,5.86495501,41.444842990000005,8.051507004400001,9.369771333000001,9.8553980065,11.2482614743,15.604827392599999,1528.9999961853,9355.00030517578,8001.999664306641,509.99999046325604,1353.9999961853,205.99999427795402,798.0000019073481,36.731413261899995,47.7396986265,48.9666351479,50.9471919531,48.950484391799996,10.006697923599999,11.37484998,13.4810212076,16.0100586756,17.1151776103,27.6640790402,48.3742534837,50.5434782609,47.6068376068,47.395171537500005,8.8920254058,12.076974120800001,15.1494565217,19.7435897436,18.8055908513,32.6721763085,49.781897491799995,51.0844748858,50.4699927693,49.8936170213,9.696969697,12.2682660851,15.8105022831,18.076644974700002,19.148936170200002,35.9558511391,47.350808700500004,48.7715850063,50.3824756606,48.358125175400005,9.8627423235,11.293920803099999,13.2528429033,16.2726008345,16.9520067359,47573200,3391.1943,-8435.1949
Chamberlain University-Indiana,34.56484479,86.31780822,28.1938326,33.69315068,47.309798,52.690202,5.86495501,41.444842990000005,8.051507004400001,9.369771333000001,9.8553980065,11.2482614743,15.604827392599999,1528.9999961853,9355.00030517578,8001.999664306641,509.99999046325604,1353.9999961853,205.99999427795402,798.0000019073481,36.731413261899995,47.7396986265,48.9666351479,50.9471919531,48.950484391799996,10.006697923599999,11.37484998,13.4810212076,16.0100586756,17.1151776103,27.6640790402,48.3742534837,50.5434782609,47.6068376068,47.395171537500005,8.8920254058,12.076974120800001,15.1494565217,19.7435897436,18.8055908513,32.6721763085,49.781897491799995,51.0844748858,50.4699927693,49.8936170213,9.696969697,12.2682660851,15.8105022831,18.076644974700002,19.148936170200002,35.9558511391,47.350808700500004,48.7715850063,50.3824756606,48.358125175400005,9.8627423235,11.293920803099999,13.2528429033,16.2726008345,16.9520067359,47574100,3991.9159999999997,-8611.1061
West Coast University-Dallas,57.36175883,66.34254144,32.56730138,49.01657459,39.73442288,60.26557712,7.81409602,31.92032686,6.2102506547,2.8368794326,3.3810888252,4.5037531276,5.1689860835,1481.9999694824198,6530.9997558593695,5127.999877929679,3984.9998474121103,935.999965667724,1215.99998474121,709.9999904632571,24.3149195302,56.7859170926,67.4208144796,77.2177419355,69.8090692124,7.4380165289,6.757524134,6.140917905599999,4.5362903226,7.875894988100001,21.882001493700002,48.4536082474,61.713665943600006,71.5061058345,65.0,7.2442120986,8.1537019681,6.0737527115,4.2062415197,6.1842105263,23.0051813472,53.0444964871,66.4364640884,75.2830188679,67.5675675676,5.906735751299999,8.079625292700001,5.9392265193,4.3396226415,6.5878378377999995,23.569023569,53.9007092199,64.8137535817,74.5621351126,67.4950298211,7.8937523382,6.940222897700001,6.1891117479,4.4203502919,7.355864811100001,47703900,3282.746,-9687.380500000001
South University-Austin,69.63237287,78.48433290999999,51.33443163,65.69544875,47.228833730000005,52.77116627,5.185311120000001,42.043522610000004,3.90625,5.0169491525,4.5916746107,7.2459016392999995,7.9836829837,1464.99996185302,9106.99996948242,6522.00012207031,661.00001335144,2855.99994659423,174.000000953674,784.9999904632571,18.1165423916,21.6164053076,23.7084099649,19.1937644623,11.2759643917,35.1008008837,32.5211097708,33.8739341247,34.4172451589,36.7745497205,10.9988776655,15.5268022181,15.926708949999998,12.933618843700001,12.3542274052,37.037037037,29.944547134900002,26.990838618700003,23.1691648822,24.3075801749,21.875,27.805486284300002,31.7359855335,24.2836676218,16.527079843699997,27.2321428571,24.6882793017,25.045207956600002,23.9971346705,26.800670016799998,15.8072916667,19.0056497175,20.5433746425,16.8196721311,10.858585858600001,36.9270833333,33.3107344633,33.8735303464,33.1366120219,35.7161357161,48007300,3047.9474,-9768.9972
Rasmussen University-Kansas,61.13973555,82.23072996,35.99540362,56.67177131,47.574278310000004,52.42572169,4.60435123,42.96992708,2.0794609665,2.2992700729999997,3.046875,3.75,4.2388966214999995,1719.00005340576,9508.00018310547,9083.00018310547,277.999997138977,350.999999046325,240.000009536743,701.000022888183,42.4311650836,44.443036370499996,43.7750467539,38.7797743418,36.2554878912,30.191174702399998,29.096438981099997,28.7870691958,30.756372753900003,30.2223481093,39.713408393,43.115942028999996,43.7282229965,38.0952380952,33.3995037221,31.0644831116,28.7784679089,26.887340302000002,27.242524916900003,30.4714640199,44.6782922429,50.2807236432,50.0,45.440613026799994,44.416027280499996,26.518340348800002,23.7055520898,23.4293193717,25.8237547893,26.0869565217,41.3801115242,42.9927007299,42.526041666699996,37.4869791667,34.3160825003,31.0989776952,30.072992700700002,29.427083333300004,30.7682291667,30.899658357600003,48065700,3905.6302,-9575.1719
