School Name,SAT Average Overall,% Male Students Completed within 2yrs,% Male Students Completed within 3yrs,% Male Students Completed within 4yrs,% Male Students Completed within 6yrs,% Male Students Completed within 8yrs,% Male Students Withdrawn by 2yrs,% Male Students Withdrawn by 3yrs,% Male Students Withdrawn by 4yrs,% Male Students Withdrawn by 6yrs,% Male Students Withdrawn by 8yrs,% Female Students Completed within 2yrs,% Female Students Completed within 3yrs,% Female Students Completed within 4yrs,% Female Students Completed within 6yrs,% Female Students Completed within 8yrs,% Female Students Withdrawn by 2yrs,% Female Students Withdrawn by 3yrs,% Female Students Withdrawn by 4yrs,% Female Students Withdrawn by 6yrs,% Female Students Withdrawn by 8yrs,School_Id,School Latitude,School Longitude
Southern Utah University,1149.0,9.52,27.37,33.29,39.52,42.13,26.81,31.03,28.71,29.27,20.73,9.38,29.69,36.15,44.59,43.69,25.59,21.62,21.16,18.29,16.2,23060300,3767.46,-11307.01
Utah State University,1217.0,14.61,30.85,44.1,51.46,48.33,31.92,27.22,26.1,23.18,20.06,19.54,36.98,47.22,50.42,46.55,27.95,23.49,21.38,19.19,18.62,23072800,4174.07,-11181.39
University of Utah,1257.0,16.91,33.06,46.82,57.96,58.57,18.6,18.02,20.6,17.36,15.72,17.04,37.34,48.03,56.39,60.32,17.24,17.4,17.99,16.09,13.46,23076400,4076.25,-11184.6
Castleton University,1054.0,7.21,33.33,45.75,47.18,45.94,22.6,28.09,28.74,22.26,20.85,10.98,46.95,56.68,66.11,62.79,17.25,15.41,14.17,10.3,11.96,23083400,4360.84,-7318.08
Middlebury College,1466.0,11.85,78.01,88.06,0.0,82.57,0.0,0.0,0.0,0.0,0.0,11.11,73.72,88.48,0.0,89.15,0.0,0.0,0.0,0.0,0.0,23095900,4400.91,-7317.61
University of Vermont,1351.0,10.49,57.47,66.8,67.35,68.12,11.38,11.84,10.2,11.04,8.15,10.4,68.41,75.78,73.24,72.91,7.84,6.46,5.28,5.9,4.53,23117400,4447.73,-7319.66
Averett University,1033.0,11.52,35.98,41.28,41.28,37.16,25.81,24.34,23.39,21.28,19.72,19.21,38.39,50.67,54.09,58.8,21.47,18.01,14.22,14.01,11.27,23142000,3657.73,-7941.32
Bridgewater College,1166.0,5.29,45.6,59.11,54.98,57.46,28.19,18.0,13.36,9.96,9.39,5.62,57.84,62.92,62.09,63.35,13.48,8.71,8.99,5.78,3.98,23158100,3837.85,-7896.9
William & Mary,1447.0,16.43,79.43,83.79,86.29,85.8,0.0,6.74,5.93,0.0,0.0,18.14,86.46,89.38,93.14,85.78,0.0,2.61,2.47,0.0,0.0,23162400,3726.95,-7670.82
Regent University,1130.0,10.27,21.71,32.2,43.39,47.57,40.36,37.92,32.2,23.97,17.36,12.65,23.47,34.6,48.67,41.77,33.58,29.78,24.76,19.47,17.44,23165100,3680.12,-7619.46
Christopher Newport University,1219.0,8.88,61.2,69.86,69.52,63.27,8.31,9.46,7.67,10.26,13.7,12.27,71.46,72.14,77.4,67.44,4.78,5.0,4.81,1.88,7.65,23171200,3706.25,-7649.44
Eastern Mennonite University,1346.0,11.83,33.33,38.66,46.49,62.39,19.35,20.2,27.73,21.93,12.82,25.15,49.16,46.43,49.5,59.62,10.78,10.06,19.39,13.0,10.33,23204300,3847.11,-7888.03
Ferrum College,1061.0,5.56,17.24,23.02,25.07,22.97,35.32,34.83,33.09,25.33,24.93,10.14,36.63,39.43,41.28,44.83,19.57,18.81,21.71,12.84,11.38,23208900,3692.69,-8002.16
George Mason University,1250.0,20.0,45.96,61.2,70.15,68.89,10.5,12.11,11.32,10.49,11.09,25.94,57.51,70.41,77.22,77.52,9.14,7.38,7.55,6.63,5.75,23218600,3883.0,-7730.74
Hampden-Sydney College,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23225600,3724.06,-7846.42
James Madison University,1233.0,11.18,47.27,73.23,78.81,77.02,8.47,9.42,8.39,6.54,8.76,11.03,64.9,80.47,86.27,80.06,3.41,3.83,4.56,2.98,4.02,23242300,3843.63,-7887.05
Longwood University,1098.0,8.36,36.69,41.6,14.1,49.14,15.82,17.21,23.6,45.83,22.68,9.35,46.87,52.53,20.21,60.0,10.45,8.12,12.86,36.65,9.19,23256600,3730.11,-7839.58
University of Mary Washington,1244.0,17.24,47.25,55.4,61.56,66.09,11.91,17.58,17.42,10.88,7.3,17.31,56.36,64.98,70.69,69.92,7.34,10.31,8.08,4.21,4.32,23268100,3830.25,-7747.61
Norfolk State University,969.0,3.36,6.19,23.03,36.55,33.44,37.57,39.26,41.98,29.64,29.16,4.2,12.33,30.43,42.64,41.9,25.59,35.71,26.78,18.69,14.68,23293700,3684.84,-7626.14
Old Dominion University,1126.0,12.9,26.67,39.84,45.69,42.85,21.25,20.0,20.78,20.16,22.62,17.33,36.23,46.04,52.1,45.98,15.82,15.53,14.91,13.98,16.74,23298200,3688.64,-7630.67
Radford University,1054.0,15.71,39.48,52.15,56.27,58.37,19.38,16.84,17.7,15.84,13.15,18.67,47.13,59.05,65.7,63.36,14.87,10.28,10.89,6.34,7.92,23327700,3713.69,-8054.97
Randolph College,1071.0,0.0,48.33,38.46,41.1,46.97,30.68,16.67,0.0,0.0,0.0,0.0,45.83,61.9,50.0,56.55,23.64,15.0,0.0,0.0,0.0,23330100,3743.73,-7917.19
Roanoke College,1166.0,8.29,56.98,60.32,66.14,59.42,9.84,10.47,12.17,10.05,7.73,7.69,65.6,62.23,70.07,68.97,10.84,7.09,11.59,5.99,6.21,23342600,3729.49,-8005.55
Southern Virginia University,1103.0,10.71,23.24,33.86,24.46,20.37,35.2,35.21,33.07,22.3,19.75,14.53,23.38,31.75,31.86,33.56,27.33,32.47,24.6,17.7,16.11,23361100,3774.04,-7935.04
Sweet Briar College,1175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23371800,3755.67,-7908.1
University of Virginia's College at Wise,1113.0,0.0,13.7,25.71,34.6,32.16,11.8,16.89,20.48,22.27,22.22,0.0,14.29,27.83,42.67,46.35,7.05,11.52,14.62,13.78,13.02,23389700,3697.06,-8255.97
Virginia Polytechnic Institute and State University,1320.0,12.48,60.04,73.79,78.95,78.36,7.94,8.86,10.44,7.82,6.6,12.49,71.05,75.91,83.23,85.61,4.93,4.57,10.33,4.62,2.36,23392100,3722.9,-8042.37
Virginia Commonwealth University,1187.0,16.57,40.01,57.4,62.27,59.7,16.52,18.2,16.75,16.13,16.19,16.27,45.32,64.2,68.69,63.83,12.56,12.83,10.36,9.01,11.0,23403000,3754.96,-7745.27
University of Virginia-Main Campus,1457.0,19.08,78.97,85.03,86.76,86.53,4.5,4.18,6.77,4.06,3.11,14.13,81.28,89.8,92.25,91.36,2.61,2.72,1.66,1.43,1.86,23407600,3803.57,-7850.34
Virginia Military Institute,1194.0,0.0,0.0,74.14,0.0,71.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.22,0.0,66.67,0.0,0.0,0.0,0.0,0.0,23408500,3778.96,-7943.71
Virginia State University,941.0,5.29,20.67,34.23,38.5,36.22,37.92,40.11,39.38,30.35,25.83,8.98,33.2,47.5,41.94,44.68,24.97,22.01,20.83,18.52,11.85,23415500,3723.47,-7741.9
Virginia Union University,840.0,5.19,20.0,31.2,22.71,21.46,31.17,29.5,24.4,30.57,25.1,7.11,28.45,38.59,34.52,32.39,20.85,20.26,22.19,17.08,14.08,23416400,3756.24,-7745.09
Virginia Wesleyan University,1287.0,7.49,21.05,34.25,44.5,48.54,21.39,29.82,26.03,19.0,12.28,9.47,23.81,42.86,46.02,53.18,17.19,26.19,17.67,11.07,9.03,23417300,3686.84,-7618.61
Washington and Lee University,1487.0,0.0,0.0,0.0,0.0,0.0,0.0,63.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.05,0.0,0.0,0.0,23420700,3778.89,-7944.3
The Evergreen State College,1119.0,25.56,35.82,42.21,52.75,53.31,29.78,32.34,32.37,30.11,21.44,25.09,40.06,47.5,56.09,63.02,25.66,24.32,26.98,19.04,14.52,23516700,4707.38,-12297.75
Gonzaga University,1321.0,8.09,63.25,80.04,81.4,83.38,0.0,6.3,5.61,6.98,4.09,9.74,61.73,81.64,80.43,85.4,0.0,3.95,5.39,4.13,2.96,23531600,4766.65,-11740.06
Northwest University,1164.0,21.3,35.57,46.23,40.34,44.12,28.99,30.41,28.3,36.93,31.76,28.57,42.76,46.06,53.85,51.62,22.05,21.38,26.36,19.93,17.33,23613300,4765.79,-12219.28
Pacific Lutheran University,1247.0,14.15,60.36,61.78,64.38,62.08,11.71,12.61,10.67,9.87,8.92,12.36,56.08,69.91,72.73,67.89,9.21,9.01,6.16,6.93,6.47,23623000,4714.52,-12244.04
University of Puget Sound,1293.0,0.0,62.05,67.46,70.91,64.25,23.42,9.04,0.0,0.0,6.76,0.0,72.24,74.9,81.16,82.06,7.96,5.71,0.0,0.0,4.65,23632800,4726.31,-12247.9
Saint Martin's University,1103.0,21.79,55.32,61.87,72.66,62.35,20.51,14.18,10.79,0.0,9.26,19.14,56.02,59.65,68.12,63.21,12.92,9.72,9.36,0.0,8.29,23645200,4704.11,-12281.64
Seattle Pacific University,1178.0,8.73,42.36,54.03,53.58,66.67,16.16,16.59,19.43,21.51,13.33,14.01,40.88,55.16,60.32,58.06,11.42,16.23,14.32,13.17,11.11,23657700,4765.02,-12236.17
Seattle University,1246.0,20.13,62.07,68.77,71.76,73.46,10.4,7.84,11.99,8.07,6.47,22.06,67.86,74.91,75.92,75.67,8.14,5.64,5.67,5.78,5.83,23659500,4760.89,-12231.89
Western Washington University,1206.0,16.1,36.48,57.59,65.3,67.88,16.78,17.44,14.93,13.29,10.89,16.8,44.56,60.74,66.08,68.0,13.34,12.0,13.22,10.62,9.83,23701100,4873.78,-12248.57
Whitman College,1394.0,0.0,72.73,82.81,0.0,82.02,0.0,0.0,0.0,0.0,0.0,0.0,86.0,90.09,0.0,84.03,0.0,0.0,0.0,0.0,0.0,23705700,4606.98,-11833.15
Whitworth University,1187.0,12.2,52.83,66.18,69.03,63.23,13.66,15.09,12.56,7.96,11.21,17.09,61.71,70.75,69.36,68.9,13.17,10.19,8.75,9.19,6.4,23706600,4775.34,-11741.67
Alderson Broaddus University,1030.0,0.0,20.24,22.77,34.55,51.67,24.17,15.48,18.81,15.27,0.0,0.0,35.2,42.36,47.73,46.03,23.02,13.6,10.42,11.82,0.0,23711800,3915.81,-8004.77
Appalachian Bible College,1126.0,0.0,0.0,56.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23713600,3785.33,-8119.89
Bluefield State University,1020.0,0.0,22.66,21.39,20.73,19.8,46.67,54.69,51.45,47.67,48.02,0.0,33.63,35.09,31.52,23.29,34.18,31.42,30.94,34.78,33.97,23721500,3726.57,-8123.9
Concord University,1042.0,6.73,17.05,29.18,34.98,29.82,32.29,36.41,40.34,30.42,27.71,11.63,34.52,42.71,42.49,37.94,28.29,27.08,23.96,19.55,22.36,23733000,3742.37,-8100.67
Fairmont State University,1018.0,8.82,24.01,35.28,38.38,36.88,32.24,37.53,31.17,33.77,29.5,10.54,29.46,36.69,43.17,38.0,27.2,24.46,23.14,20.17,19.44,23736700,3948.31,-8016.24
Marshall University,1085.0,9.7,29.3,37.79,43.65,41.13,28.97,29.54,28.34,27.78,24.87,10.71,36.23,48.79,50.2,47.57,20.56,18.12,17.68,17.91,15.94,23752500,3842.25,-8242.9
Shepherd University,1087.0,13.66,31.15,34.29,38.98,36.01,23.91,31.15,27.14,23.39,23.6,18.03,39.96,48.54,55.39,49.91,16.95,15.43,13.79,14.63,16.52,23779200,3943.31,-7780.41
West Liberty University,1069.0,11.11,29.19,40.0,30.04,31.43,26.5,28.71,30.26,34.39,24.76,14.21,40.25,53.77,29.12,44.85,21.31,18.24,14.15,27.2,17.01,23793200,4016.44,-8060.23
West Virginia University Institute of Technology,1069.0,8.14,29.64,45.69,47.9,45.75,24.29,23.67,22.62,21.26,18.94,9.88,38.37,53.23,53.38,53.97,16.34,15.93,15.62,13.67,11.48,23795000,3777.59,-8118.41
West Virginia Wesleyan College,1070.0,0.0,27.94,38.1,46.5,31.89,22.44,16.91,12.93,11.0,12.43,0.0,48.97,49.47,50.46,52.87,13.48,17.01,10.11,8.8,10.34,23796900,3899.07,-8021.9
West Virginia University,1154.0,8.14,29.64,45.69,47.9,45.75,24.29,23.67,22.62,21.26,18.94,9.88,38.37,53.23,53.38,53.97,16.34,15.93,15.62,13.67,11.48,23803200,3963.44,-7995.44
Wheeling University,1057.0,0.0,26.67,30.0,39.52,53.1,15.91,20.83,16.0,19.16,11.5,0.0,35.88,29.82,48.08,60.54,15.0,14.5,20.18,13.46,6.8,23807800,4007.09,-8069.08
Bellin College,1105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23832400,4446.83,-8792.17
Beloit College,1273.0,0.0,53.57,61.48,65.98,75.0,15.31,16.96,13.33,0.0,0.0,0.0,59.57,66.89,75.81,85.29,10.24,13.48,11.26,0.0,0.0,23833300,4250.4,-8902.93
Cardinal Stritch University,1062.0,0.0,16.9,26.8,30.91,28.17,34.38,35.21,37.11,32.27,40.08,0.0,29.05,28.05,30.65,37.27,20.0,30.48,30.77,27.01,22.88,23843000,4313.98,-8790.9
Carroll University,1202.0,4.18,48.66,60.15,64.0,53.96,12.55,13.84,12.64,9.2,11.59,6.32,51.83,62.35,61.84,60.91,8.06,8.68,5.78,6.73,6.91,23845800,4300.45,-8822.81
Carthage College,1143.0,4.23,46.28,57.83,54.31,43.13,16.29,13.27,12.05,10.63,14.7,6.78,61.08,72.19,69.12,59.9,9.05,8.87,5.1,6.37,7.73,23847600,4262.3,-8782.09
Concordia University-Wisconsin,1150.0,7.06,35.81,41.24,41.8,38.62,17.52,19.36,18.2,18.95,18.7,15.21,46.35,51.19,48.44,42.11,14.93,14.33,14.85,17.35,18.42,23861600,4325.34,-8791.55
Lawrence University,1357.0,0.0,48.36,68.27,64.86,64.1,0.0,17.21,16.35,13.51,0.0,0.0,60.68,70.8,69.08,74.19,0.0,11.97,9.49,11.18,0.0,23901700,4426.13,-8839.78
Maranatha Baptist University,1147.0,0.0,32.53,40.86,40.17,43.24,27.4,31.33,27.96,30.77,18.92,0.0,43.48,47.75,43.2,37.4,19.51,24.35,20.72,29.6,22.76,23907100,4319.5,-8873.7
Marian University,1050.0,0.0,10.69,29.5,43.14,53.23,32.61,32.82,34.53,23.53,10.48,0.0,17.79,43.92,56.55,52.83,20.45,35.91,23.31,12.76,10.51,23908000,4377.74,-8842.06
Marquette University,1292.0,6.42,53.04,71.97,77.38,75.65,5.79,6.26,6.36,5.15,2.31,5.5,58.85,80.87,81.36,81.54,3.76,3.29,2.65,2.04,1.59,23910500,4303.9,-8792.8
Milwaukee School of Engineering,1284.0,7.26,48.94,50.76,60.49,63.64,0.0,0.0,17.77,13.9,10.16,17.5,58.33,71.95,66.07,58.33,0.0,0.0,8.54,10.71,8.33,23931800,4304.54,-8790.77
Mount Mary University,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23939000,4307.25,-8803.07
Northland College,1148.0,0.0,34.15,45.31,47.56,59.57,29.41,28.05,0.0,0.0,14.89,0.0,46.43,66.25,53.85,62.89,21.77,20.24,0.0,0.0,10.31,23951200,4657.91,-9087.48
Ripon College,1153.0,0.0,45.56,59.46,58.42,64.21,27.71,17.78,0.0,0.0,0.0,0.0,54.81,63.74,67.54,68.47,9.09,13.46,0.0,0.0,0.0,23962800,4384.41,-8884.23
Saint Norbert College,1275.0,6.79,59.39,64.38,55.38,58.3,0.0,12.18,10.3,16.67,10.31,4.49,55.87,68.56,53.61,63.4,0.0,9.61,12.71,16.35,5.88,23971600,4444.48,-8806.78
Viterbo University,1148.0,13.04,37.61,58.65,50.0,45.11,12.17,15.38,13.46,12.0,19.55,18.55,50.73,62.98,58.61,56.1,5.03,7.33,4.42,7.5,9.76,24010700,4380.31,-9124.43
University of Wisconsin-Whitewater,1085.0,11.98,36.0,53.62,60.17,60.94,19.35,18.13,17.79,14.72,14.08,14.84,45.09,63.13,67.98,66.38,10.69,10.47,10.92,8.57,8.8,24018900,4283.56,-8874.24
University of Wisconsin-Eau Claire,1170.0,7.18,33.94,50.32,63.41,62.55,19.36,21.84,23.14,12.95,10.63,8.53,32.99,56.42,63.33,67.58,9.44,17.19,14.96,6.5,6.02,24026800,4479.83,-9150.19
University of Wisconsin-Green Bay,1100.0,16.25,36.79,49.43,52.37,44.6,24.6,21.35,17.47,16.11,17.0,19.31,39.98,53.16,54.9,51.94,14.29,15.08,14.55,9.4,12.77,24027700,4453.23,-8792.0
University of Wisconsin-La Crosse,1170.0,9.71,35.31,63.12,64.67,68.52,13.91,13.11,10.04,10.68,7.38,9.71,48.11,67.94,69.86,69.19,7.23,6.91,5.36,4.02,3.61,24032900,4381.57,-9123.19
Wisconsin Lutheran College,1192.0,7.75,41.13,54.17,47.18,52.47,18.6,12.9,14.58,15.49,0.0,9.7,52.8,58.48,59.56,63.31,10.45,10.56,14.62,12.02,0.0,24033800,4303.69,-8802.27
University of Wisconsin-Oshkosh,1065.0,13.7,32.02,46.3,54.06,55.36,18.45,17.13,20.2,19.61,15.22,18.02,36.91,55.52,57.35,57.58,12.2,9.66,10.7,11.51,9.29,24036500,4402.62,-8854.94
University of Wisconsin-Parkside,1085.0,13.82,23.06,37.9,41.77,36.12,26.78,25.43,28.69,25.68,26.73,10.6,25.83,36.99,39.08,40.42,21.71,17.55,21.11,18.62,14.65,24037400,4264.77,-8785.52
University of Wisconsin-Stout,1150.0,8.28,24.82,44.03,50.21,53.61,21.87,21.54,19.42,23.14,16.6,12.71,36.18,53.85,54.45,58.37,15.99,15.72,12.04,19.19,10.46,24041700,4487.32,-9192.67
University of Wisconsin-Superior,1085.0,13.51,30.57,32.8,45.0,39.93,27.03,30.13,26.88,19.58,22.57,15.93,35.71,39.34,49.53,45.6,21.15,19.84,20.77,16.11,17.62,24042600,4671.76,-9209.1
University of Wisconsin-Madison,1359.0,12.58,53.26,68.16,71.61,80.85,8.94,12.2,16.03,13.26,5.82,12.68,61.99,73.51,78.73,82.86,7.07,10.26,12.72,9.04,3.48,24044400,4307.54,-8940.41
University of Wisconsin-Milwaukee,1100.0,12.94,31.11,41.47,48.08,49.68,23.59,22.8,24.08,22.6,21.27,13.72,30.66,47.06,49.58,47.09,17.59,17.23,15.83,15.65,14.04,24045300,4307.68,-8788.05
University of Wisconsin-Platteville,1150.0,8.27,29.5,50.63,55.86,53.65,16.3,19.11,13.76,19.17,16.02,12.93,44.79,56.55,64.85,56.43,11.79,11.07,12.27,9.55,13.18,24046200,4273.35,-9048.62
University of Wisconsin-River Falls,1120.0,14.15,39.67,48.76,55.29,49.67,19.55,16.94,17.77,16.57,17.66,12.94,45.98,60.29,61.38,59.31,12.83,11.38,10.23,10.57,10.06,24047100,4485.34,-9262.26
University of Wisconsin-Stevens Point,1120.0,10.34,37.76,49.49,59.14,64.52,22.82,19.61,20.1,14.89,11.83,13.45,47.52,56.0,65.0,67.81,12.39,12.37,10.75,9.39,6.19,24048000,4452.96,-8957.09
University of Puerto Rico-Aguadilla,973.0,0.0,16.51,29.22,38.92,31.23,20.4,22.17,20.11,17.09,10.73,0.0,12.19,30.74,41.01,41.52,11.2,10.83,8.44,10.83,5.13,24310600,1849.87,-6713.79
University of Puerto Rico-Carolina,940.0,0.0,3.38,0.0,17.37,25.08,28.96,36.71,41.78,35.0,21.41,0.0,1.56,0.0,16.42,25.45,13.85,36.66,38.72,24.93,19.49,24314200,1839.21,-6599.02
University of Puerto Rico-Cayey,1018.0,0.0,8.97,28.0,48.89,38.31,9.95,10.68,18.8,11.75,10.08,0.0,13.06,40.37,52.27,51.1,6.27,6.82,8.07,8.71,5.19,24315100,1811.88,-6616.21
University of the Virgin Islands,931.0,0.0,11.81,11.76,19.59,22.09,32.84,38.58,40.52,50.68,39.53,0.0,10.0,20.12,26.44,22.08,23.79,31.79,30.96,34.65,22.83,24366500,1834.42,-6497.29
Stanford University,1528.0,0.0,47.1,70.56,86.69,90.26,10.04,12.74,10.48,0.0,4.22,0.0,62.79,77.73,90.0,89.46,6.05,6.98,9.61,0.0,5.44,24374400,3742.94,-12216.74
Purdue University-Main Campus,1328.0,7.7,51.26,69.69,75.41,69.09,8.52,10.76,10.65,8.42,7.65,11.76,58.24,72.77,79.44,70.11,6.11,8.19,7.33,5.36,5.28,24378000,4042.82,-8691.44
New College of Florida,1236.0,0.0,0.0,50.0,46.67,49.09,23.91,54.39,30.36,28.33,0.0,0.0,0.0,59.43,55.56,57.76,16.84,39.62,14.15,12.22,0.0,26212900,2738.49,-8255.86
Worsham College of Mortuary Science,1118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36945500,4214.79,-8792.74
Soka University of America,1296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39991100,3355.45,-11773.53
Southeast Missouri Hospital College of Nursing and Health Sciences,1120.0,0.0,0.0,0.0,0.0,64.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.35,0.0,0.0,0.0,0.0,0.0,41773400,3730.25,-8954.59
Carolinas College of Health Sciences,1015.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43317400,3518.19,-8092.75
Florida Gulf Coast University,1104.0,13.15,33.21,40.3,41.6,49.57,20.62,18.0,20.06,21.1,16.84,19.28,40.94,51.12,52.04,51.36,13.24,12.17,13.0,11.96,10.38,43366000,2646.36,-8177.26
University of Connecticut-Waterbury Campus,1121.0,12.79,56.6,69.08,73.22,70.38,10.29,10.33,9.66,8.67,8.4,17.19,64.55,78.02,78.81,75.7,6.27,6.71,5.27,5.47,4.5,43681800,4155.56,-7303.92
University of Connecticut-Avery Point,1153.0,12.79,56.6,69.08,73.22,70.38,10.29,10.33,9.66,8.67,8.4,17.19,64.55,78.02,78.81,75.7,6.27,6.71,5.27,5.47,4.5,43682700,4131.64,-7206.53
University of Connecticut-Stamford,1154.0,12.79,56.6,69.08,73.22,70.38,10.29,10.33,9.66,8.67,8.4,17.19,64.55,78.02,78.81,75.7,6.27,6.71,5.27,5.47,4.5,43683600,4105.61,-7354.22
The King's University,1000.0,0.0,22.45,23.53,0.0,0.0,36.84,42.86,38.24,26.92,29.73,0.0,28.85,31.58,0.0,0.0,30.19,34.62,21.05,40.85,37.5,43970100,3293.97,-9712.15
Oregon State University-Cascades Campus,1215.0,16.35,36.96,48.8,55.95,57.35,16.92,17.24,18.03,17.88,16.51,15.08,39.16,51.39,57.57,57.78,15.0,13.98,17.56,14.16,12.34,44082800,4404.28,-12133.37
Franklin W Olin College of Engineering,1537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44198200,4229.35,-7126.34
DigiPen Institute of Technology,1288.0,0.0,36.6,50.0,57.34,39.84,25.0,0.0,18.06,23.08,33.33,0.0,52.0,51.02,47.73,35.42,31.82,0.0,24.49,22.73,29.17,44341000,4768.87,-12215.06
Georgia Gwinnett College,1054.0,0.0,1.13,2.5,2.99,6.46,45.7,45.0,51.64,52.89,42.28,0.0,2.11,3.37,6.11,7.54,33.37,36.4,37.36,38.31,29.88,44768900,3397.94,-8400.46
Visible Music College,983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44976400,3514.46,-9004.94
Patrick Henry College,1319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45192700,3913.87,-7769.09
The King's College,1273.0,0.0,36.0,56.86,46.15,45.83,31.11,24.0,19.61,0.0,0.0,0.0,42.55,51.69,48.33,53.19,12.9,11.7,11.24,0.0,0.0,45418400,4070.67,-7401.23
University of Minnesota-Rochester,1235.0,22.88,60.22,70.43,72.61,71.67,11.79,12.23,11.64,10.64,10.7,23.09,66.57,75.77,76.64,75.6,8.85,9.24,7.28,6.45,6.61,45695900,4402.23,-9246.35
Compass College of Film and Media,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45941700,4296.19,-8566.71
Texas A&M University-San Antonio,1031.0,27.84,55.47,49.41,0.0,0.0,24.1,19.04,0.0,0.0,0.0,31.32,64.23,66.67,0.0,0.0,15.14,11.56,0.0,0.0,0.0,45994900,2930.48,-9852.42
Simmons College of Kentucky,820.0,0.0,0.0,0.0,0.0,0.0,61.11,54.29,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,45.95,39.47,0.0,0.0,46175900,3823.95,-8576.48
John Paul the Great Catholic University,1152.0,0.0,72.34,54.55,53.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,57.14,60.0,0.0,0.0,0.0,0.0,0.0,0.0,46235400,3312.08,-11708.24
University of Connecticut-Hartford Campus,1112.0,12.79,56.6,69.08,73.22,70.38,10.29,10.33,9.66,8.67,8.4,17.19,64.55,78.02,78.81,75.7,6.27,6.71,5.27,5.47,4.5,46305600,4176.27,-7267.22
Ottawa University-Surprise,992.0,12.23,22.83,34.52,26.32,25.56,27.19,23.99,24.2,31.3,30.34,27.79,41.92,44.11,28.17,32.22,17.77,15.34,18.16,26.17,22.04,46422600,3362.89,-11236.82
Criswell College,1120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47560800,3279.35,-9677.67
Colorado State University Global,945.0,31.07,40.21,48.16,51.49,63.37,21.95,23.22,24.13,23.13,22.11,28.69,39.25,44.38,51.43,63.52,20.74,21.15,20.74,19.08,20.44,47697500,3972.48,-10478.67
Florida Institute of Technology-Online,1048.0,8.73,30.77,32.22,29.03,26.41,26.19,27.72,30.86,29.57,28.74,12.03,21.34,22.35,16.71,12.15,33.61,33.08,33.86,29.16,25.94,48056900,2806.58,-8062.44
Augusta University,1195.0,12.98,24.16,40.78,42.48,30.12,21.37,20.57,20.0,20.05,25.1,19.93,36.56,51.41,51.86,39.23,13.36,13.5,14.27,11.41,13.62,48214900,3347.04,-8198.91
Middle Georgia State University,1066.0,9.95,11.95,16.15,20.81,23.06,34.14,34.34,36.88,34.39,31.0,12.51,18.96,21.29,25.69,25.31,26.04,26.42,24.43,22.06,16.61,48215800,3280.81,-8373.21
University of North Georgia,1139.0,6.48,17.85,23.72,31.46,29.98,35.36,32.75,34.61,30.45,24.64,9.55,23.94,33.46,40.76,37.2,25.31,24.32,24.21,19.61,16.74,48268000,3453.02,-8398.57
Florida Polytechnic University,1295.0,15.18,47.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.26,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48293600,2815.01,-8184.6
