School Name,SAT Average Overall,% Male Students Completed within 2yrs,% Male Students Completed within 3yrs,% Male Students Completed within 4yrs,% Male Students Completed within 6yrs,% Male Students Completed within 8yrs,% Male Students Withdrawn by 2yrs,% Male Students Withdrawn by 3yrs,% Male Students Withdrawn by 4yrs,% Male Students Withdrawn by 6yrs,% Male Students Withdrawn by 8yrs,% Female Students Completed within 2yrs,% Female Students Completed within 3yrs,% Female Students Completed within 4yrs,% Female Students Completed within 6yrs,% Female Students Completed within 8yrs,% Female Students Withdrawn by 2yrs,% Female Students Withdrawn by 3yrs,% Female Students Withdrawn by 4yrs,% Female Students Withdrawn by 6yrs,% Female Students Withdrawn by 8yrs,School_Id,School Latitude,School Longitude
Oklahoma City University,1200.0,18.27,50.0,56.78,59.69,44.62,21.15,13.28,12.71,14.73,13.85,37.19,71.68,71.84,71.03,61.33,5.37,5.73,5.78,8.97,7.0,20745800,3549.53,-9754.12
University of Oklahoma-Norman Campus,1249.0,11.55,34.0,47.71,51.34,51.34,17.24,17.79,21.36,18.52,18.6,17.51,47.14,59.04,60.01,58.61,12.71,10.89,12.92,13.16,10.72,20750000,3520.94,-9744.42
Oral Roberts University,1123.0,5.72,30.35,40.34,46.33,41.18,27.71,32.66,28.14,23.94,29.76,10.64,35.83,49.2,54.59,43.51,17.87,21.65,20.92,19.39,17.3,20758200,3604.91,-9595.25
Southeastern Oklahoma State University,1042.0,12.81,26.57,34.49,37.21,35.79,34.42,35.22,36.71,36.18,30.87,17.68,30.7,33.85,40.56,34.17,29.3,25.35,29.45,29.63,26.3,20784700,3400.68,-9637.69
Southwestern Oklahoma State University,1050.0,10.76,21.66,30.59,35.55,33.14,34.81,38.02,32.32,35.78,31.25,20.62,36.46,45.71,45.6,38.29,27.0,19.88,20.3,22.24,20.87,20786500,3553.53,-9870.78
University of Tulsa,1231.0,7.46,51.43,59.16,60.53,53.62,18.86,13.47,11.52,9.21,12.08,12.0,52.25,63.41,70.18,63.74,12.0,9.91,10.24,5.5,8.19,20797100,3615.23,-9594.59
George Fox University,1184.0,11.72,51.72,59.87,65.84,71.62,10.62,15.17,12.1,11.03,6.11,19.35,61.52,70.5,75.6,74.08,7.69,6.28,7.25,5.98,3.1,20882200,4530.36,-12296.75
Lewis & Clark College,1345.0,0.0,63.83,74.0,61.06,74.25,10.85,0.0,0.0,0.0,0.0,0.0,64.04,69.86,77.72,78.82,6.63,0.0,0.0,0.0,0.0,20905600,4545.09,-12266.91
Bushnell University,1056.0,0.0,44.93,52.78,52.78,55.56,26.56,21.74,25.0,29.17,0.0,0.0,45.69,59.06,46.32,50.6,15.0,12.07,14.17,17.65,0.0,20940900,4404.75,-12307.98
Oregon Institute of Technology,1193.0,15.23,28.86,44.15,50.47,42.14,20.3,21.27,23.9,21.36,22.44,23.31,47.11,54.21,50.39,50.56,15.18,9.21,9.74,14.4,12.08,20950600,4225.72,-12178.52
