School Name,% of Students receiving Federal Loan,Title 4 Cost Private,No.of programs offered,Tuition FT Enrollment in $,Enrollment,Highest degree awarded,SAT Writing Midpoint,SAT Math Midpoint,SAT Critical Reading Midpoint,SAT Average Overall,ACT Writing Midpoint, ACT Math Midpoint,ACT English Midpoint,ACT Cumulative Midpoint,Retention Rate FT,Completion Rate 4 year (White),Completion Rate 4 year (2 Or More Races),Completion Rate 4 year (Hawaian/Pacific Islander),Completion Rate 4 year (Hispanic),Completion Rate 4 year (Black),Completion Rate 4 year (Asian),Completion Rate 4 year (American Indian),General Completion Rate,id,Latitude,Longitutde
Concorde Career Institute-Tampa,79.83,135.0,13.0,14062.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133863,27.959148,-82.514341
AdventHealth University,52.28,55.0,0.0,17977.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.290000000000006,60.0,0.0,0.0,31.03,33.33,25.0,0.0,37.230000000000004,133872,28.576142,-81.367687
Florida Institute of Technology,37.61,374.0,0.0,22918.0,0,4,0.0,620.0,620.0,1254.0,0.0,26.0,26.0,27.0,81.82000000000001,66.24,62.5,100.0,56.06,64.1,68.17999999999999,100.0,63.05,133881,28.065815,-80.622893
Florida Institute of Ultrasound Inc,50.57000000000001,0.0,1.0,9021.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133942,30.524582,-87.220895
Florida International University,37.45,0.0,0.0,5286.0,0,4,530.0,560.0,590.0,1155.0,8.0,22.0,24.0,24.0,90.19,59.48,60.58,33.33,69.69999999999999,59.21999999999999,74.72999999999999,66.67,67.03,133951,25.75732,-80.373928
The College of the Florida Keys,18.93,0.0,0.0,2427.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,60.0,0.0,32.5,38.46,100.0,0.0,37.57,133960,24.582748,-81.74446
Florida Memorial University,58.85,214.0,0.0,16237.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.239999999999995,33.33,0.0,0.0,53.849999999999994,31.03,0.0,0.0,33.51,133979,25.918278,-80.270753
Florida Career College-Miami,79.45,81.0,9.0,9529.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133997,25.756567,-80.36778
Florida School of Massage,75.38,12.0,1.0,7638.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134024,29.593428,-82.338273
Florida Southern College,56.24,446.0,0.0,19617.0,0,4,550.0,613.0,635.0,1268.0,0.0,25.0,27.0,28.0,79.17,69.02000000000001,77.78,0.0,57.97,57.58,72.22,75.0,68.01,134079,28.032443,-81.948203
Florida State University,23.419999999999998,0.0,0.0,6716.0,0,4,600.0,620.0,640.0,1280.0,0.0,26.0,29.0,28.0,93.66,83.44,82.93,81.82000000000001,83.39999999999999,82.78999999999999,85.92,56.25,83.69,134097,30.440756,-84.291921
University of Florida,14.49,0.0,0.0,8246.0,0,4,620.0,700.0,685.0,1396.0,9.0,29.0,32.0,31.0,96.73,91.09,93.08,96.49,91.85,84.6,91.36999999999999,71.43,89.79,134130,29.64629,-82.347911
Fort Pierce Beauty Academy,100.0,34.0,2.0,3906.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134228,27.411962,-80.325377
Full Sail University,57.60999999999999,2699.0,0.0,14737.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.94999999999999,46.07,31.85,65.0,47.31,27.400000000000002,68.81,20.0,41.980000000000004,134237,28.596546,-81.301286
George Stone Technical College,0.0,0.0,26.0,2809.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134291,30.487547,-87.290659
George T Baker Aviation Technical College,0.0,0.0,3.0,2500.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134307,25.804092,-80.263591
Gulf Coast State College,5.94,0.0,0.0,1503.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.38,60.0,0.0,78.57,52.0,91.67,50.0,46.67,134343,30.185542,-85.727918
Key College,72.41,2.0,0.0,7941.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134422,26.13887,-80.114462
Hillsborough Community College,44.7,0.0,0.0,2080.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134495,27.934888,-82.456253
Hobe Sound Bible College,55.86,16.0,0.0,6322.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.43,44.440000000000005,0.0,0.0,25.0,0.0,0.0,0.0,46.550000000000004,134510,27.066304,-80.13184
Hollywood Institute of Beauty Careers,49.919999999999995,34.0,9.0,10050.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134529,26.007139,-80.209125
Indian River State College,3.9800000000000004,0.0,0.0,1587.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.739999999999995,47.620000000000005,0.0,53.42,35.709999999999994,56.52,100.0,46.2,134608,27.42416,-80.358682
International Academy,57.19,7.0,7.0,11558.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134714,29.162159,-80.997811
AI Miami International University of Art and Design,38.33,35.0,0.0,22143.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.629999999999995,38.46,50.0,0.0,30.25,25.0,66.67,50.0,30.86,134811,25.790008,-80.18839
