School Name,SAT Average Overall,City,Carnegie Classification Undergraduate Profile,Carnegie Size Setting,Public Average Net Price,Private Average Net Price,"Avg $75,001-$110,000 (Public)","Avg $75,000+ (Public)","Avg $48,001-$75,000 (Public)","Avg $48,001-$75,000 (All)","Avg $30,001-$75,000 (Public)","Avg $30,001-$75,000 (All)","Avg $30,001-$48,000 (Public)","Avg $30,001-$48,000 (All)","Avg $110,000+ (Public)","Avg $110,000+ (All)","Avg $0-$48,000 (Public)","Avg $0-$48,000 (Private)","Avg $0-$30,000 (Public)","Avg $0-$30,000 (Private)"
Stetson University,1207.0,DeLand,10,14,0.0,19900.0,0.0,0.0,0.0,20167.0,0.0,19253.0,0.0,18433.0,0.0,0,0.0,17297.0,0.0,16630.0
Southeastern University,1112.0,Lakeland,11,13,0.0,27891.0,0.0,0.0,0.0,27803.0,0.0,26666.0,0.0,25292.0,0.0,0,0.0,25923.0,0.0,26277.0
The University of Tampa,1184.0,Tampa,12,13,0.0,34866.0,0.0,0.0,0.0,33041.0,0.0,32252.0,0.0,31209.0,0.0,0,0.0,30367.0,0.0,29665.0
Trinity Baptist College,990.0,Jacksonville,11,8,0.0,17464.0,0.0,0.0,0.0,15219.0,0.0,15588.0,0.0,15871.0,0.0,0,0.0,15583.0,0.0,15439.0
Trinity College of Florida,984.0,Trinity,11,8,0.0,17497.0,0.0,0.0,0.0,16504.0,0.0,16698.0,0.0,16776.0,0.0,0,0.0,16158.0,0.0,15597.0
Warner University,975.0,Lake Wales,15,8,0.0,20162.0,0.0,0.0,0.0,0.0,0.0,29493.0,0.0,29493.0,0.0,0,0.0,20162.0,0.0,20115.0
The University of West Florida,1164.0,Pensacola,9,12,8152.0,0.0,14579.0,13914.0,9364.0,0.0,8002.0,0.0,6805.0,0.0,13276.0,0,5458.0,0.0,4618.0,0.0
Abraham Baldwin Agricultural College,1026.0,Tifton,6,10,7203.0,0.0,10953.0,10752.0,8408.0,0.0,7053.0,0.0,5862.0,0.0,10568.0,0,5182.0,0.0,4784.0,0.0
Andrew College,1053.0,Cuthbert,6,7,0.0,20764.0,0.0,0.0,0.0,21234.0,0.0,20198.0,0.0,19634.0,0.0,0,0.0,19618.0,0.0,19609.0
Point University,1004.0,West Point,7,7,0.0,19095.0,0.0,0.0,0.0,17257.0,0.0,19201.0,0.0,20497.0,0.0,0,0.0,19828.0,0.0,19194.0
Clark Atlanta University,970.0,Atlanta,10,14,0.0,33836.0,0.0,0.0,0.0,36065.0,0.0,34221.0,0.0,32808.0,0.0,0,0.0,32085.0,0.0,31709.0
Berry College,1267.0,Mount Berry,12,11,0.0,21980.0,0.0,0.0,0.0,20381.0,0.0,18818.0,0.0,16570.0,0.0,0,0.0,16157.0,0.0,15879.0
Brenau University,1107.0,Gainesville,7,9,0.0,22771.0,0.0,0.0,0.0,19287.0,0.0,21002.0,0.0,21703.0,0.0,0,0.0,23717.0,0.0,24640.0
Brewton-Parker College,990.0,Mount Vernon,11,8,0.0,18662.0,0.0,0.0,0.0,19759.0,0.0,18513.0,0.0,17727.0,0.0,0,0.0,17345.0,0.0,17184.0
College of Coastal Georgia,965.0,Brunswick,7,9,13258.0,0.0,16066.0,16206.0,14589.0,0.0,13244.0,0.0,12224.0,0.0,16335.0,0,11751.0,0.0,11553.0,0.0
Columbus State University,1043.0,Columbus,7,12,13697.0,0.0,17115.0,17132.0,15403.0,0.0,13806.0,0.0,12808.0,0.0,17149.0,0,12410.0,0.0,12235.0,0.0
Covenant College,1222.0,Lookout Mountain,12,8,0.0,24467.0,0.0,0.0,0.0,22190.0,0.0,21678.0,0.0,20782.0,0.0,0,0.0,18956.0,0.0,17391.0
Emmanuel College,1070.0,Franklin Springs,10,8,0.0,19128.0,0.0,0.0,0.0,19201.0,0.0,18117.0,0.0,16853.0,0.0,0,0.0,16516.0,0.0,16357.0
Emory University,1480.0,Atlanta,15,17,0.0,25424.0,0.0,0.0,0.0,15486.0,0.0,13386.0,0.0,11416.0,0.0,0,0.0,10151.0,0.0,9311.0
Fort Valley State University,921.0,Fort Valley,12,11,13320.0,0.0,17979.0,17668.0,14506.0,0.0,13703.0,0.0,13205.0,0.0,17267.0,0,12590.0,0.0,12349.0,0.0
Georgia Institute of Technology-Main Campus,1423.0,Atlanta,15,17,14820.0,0.0,18062.0,18741.0,14821.0,0.0,13276.0,0.0,11620.0,0.0,19035.0,0,9710.0,0.0,8447.0,0.0
Georgia Southwestern State University,1082.0,Americus,7,10,12567.0,0.0,15154.0,15078.0,14074.0,0.0,12515.0,0.0,11392.0,0.0,15008.0,0,11271.0,0.0,11214.0,0.0
Georgia College & State University,1176.0,Milledgeville,12,13,19827.0,0.0,20712.0,21471.0,19728.0,0.0,18381.0,0.0,16499.0,0.0,21787.0,0,16114.0,0.0,15817.0,0.0
Georgia Southern University,1091.0,Statesboro,10,16,15851.0,0.0,18800.0,18979.0,16707.0,0.0,15306.0,0.0,13996.0,0.0,19092.0,0,13630.0,0.0,13442.0,0.0
Georgia State University,1165.0,Atlanta,8,15,17738.0,0.0,21232.0,21330.0,18935.0,0.0,17478.0,0.0,16329.0,0.0,21407.0,0,16005.0,0.0,15818.0,0.0
University of Georgia,1386.0,Athens,15,16,14995.0,0.0,17985.0,18146.0,15844.0,0.0,13767.0,0.0,11557.0,0.0,18218.0,0,10535.0,0.0,9820.0,0.0
Gordon State College,1010.0,Barnesville,6,10,8925.0,0.0,11925.0,12065.0,11086.0,0.0,9303.0,0.0,7972.0,0.0,12217.0,0,7426.0,0.0,7143.0,0.0
Life University,997.0,Marietta,11,11,0.0,28257.0,0.0,0.0,0.0,26108.0,0.0,26896.0,0.0,27589.0,0.0,0,0.0,27268.0,0.0,27098.0
Mercer University,1338.0,Macon,15,14,0.0,20884.0,0.0,0.0,0.0,20875.0,0.0,19478.0,0.0,17724.0,0.0,0,0.0,17175.0,0.0,16868.0
Morehouse College,1150.0,Atlanta,12,11,0.0,24271.0,0.0,0.0,0.0,26380.0,0.0,23558.0,0.0,20450.0,0.0,0,0.0,20097.0,0.0,19893.0
Oglethorpe University,1223.0,Atlanta,12,11,0.0,14079.0,0.0,0.0,0.0,13734.0,0.0,12203.0,0.0,10701.0,0.0,0,0.0,11121.0,0.0,11436.0
Piedmont University,1129.0,Demorest,11,11,0.0,19827.0,0.0,0.0,0.0,18380.0,0.0,17061.0,0.0,15507.0,0.0,0,0.0,15740.0,0.0,15931.0
Shorter University,1072.0,Rome,11,11,0.0,16638.0,0.0,0.0,0.0,15502.0,0.0,15279.0,0.0,15018.0,0.0,0,0.0,16816.0,0.0,17951.0
Thomas University,1012.0,Thomasville,6,6,0.0,22759.0,0.0,0.0,0.0,21228.0,0.0,21005.0,0.0,20826.0,0.0,0,0.0,22893.0,0.0,23500.0
