School Name,SAT Average Overall,"% IndepStudents, LowIncome $0-$30,000",% Independent Students,"% DepStudents, LowIncome $0-$30,000","% aided students family income $0-$30,000",% First Generation Students,"% First Gen, Parents w/College","% First Gen, Parents w/MiddleSchool","% First Gen, Parents w/HighSchool","% FirstGenStudents, Completed 2 Years","% FirstGenStudents, Completed 3 Years","% FirstGenStudents, Completed 4 Years","% FirstGenStudents, Completed 6 Years","% FirstGenStudents, Completed 8 Years",% Students W/Bachelors Degree at 25 Years Old,% Students Born Within the U.S.,% Population of White Students by ZIP Code,% Population of Hispanic Students by ZIP Code,% Population of Black Students by ZIP Code,% Population of Asian Students by ZIP Code,% Students W/Professional Deg at 25YrsbyZIP,% IndepStudents Completed 2 Years,% IndepStudents Completed 3 Years,% IndepStudents Completed 4 Years,% IndepStudents Completed 6 Years,% IndepStudents Completed 8 Years,% IndepStudents Withdrawn 2 Years,% IndepStudents Withdrawn 3 Years,% IndepStudents Withdrawn 4 Years,% IndepStudents Withdrawn 6 Years,% IndepStudents Withdrawn 8 Years,% DepStudents Completed 2 Years,% DepStudents Completed 3 Years,% DepStudents Completed 4 Years,% DepStudents Completed 6 Years,% DepStudents Completed 8 Years,% DepStudents Withdrawn 2 Years,% DepStudents Withdrawn 3 Years,% DepStudents Withdrawn 4 Years,% DepStudents Withdrawn 6 Years,% DepStudents Withdrawn 8 Years,% NonFirstGenStudents Completed 2 Years,% NonFirstGenStudents Completed 3 Years,% NonFirstGenStudents Completed 4 Years,% NonFirstGenStudents Completed 6 Years,% NonFirstGenStudents Completed 8 Years,% NonFirstGenStudents Withdrawn 2 Years,% NonFirstGenStudents Withdrawn 3 Years,% NonFirstGenStudents Withdrawn 4 Years,% NonFirstGenStudents Withdrawn 6 Years,% NonFirstGenStudents Withdrawn 8 Years,% FirstGenStudents Completed 2 Years,% FirstGenStudents Completed 3 Years,% FirstGenStudents Completed 4 Years,% FirstGenStudents Completed 6 Years,% FirstGenStudents Completed 8 Years,% FirstGenStudents Withdrawn 2 Years,% FirstGenStudents Withdrawn 3 Years,% FirstGenStudents Withdrawn 4 Years,% FirstGenStudents Withdrawn 6 Years,% FirstGenStudents Withdrawn 8 Years,id,Latitude,Longitutde
Columbus State University,1043.0,61.14,31.4,37.82,45.15,32.95,67.05,2.46,30.49,0.0,0.0,7.61,9.81,12.47,1333.0,9346.0,6022.0,383.0,3475.0,153.0,752.0,24.84,34.82,35.39,36.66,37.58,23.14,22.08,22.14,23.16,19.28,9.48,22.07,35.1,39.36,35.57,25.51,23.38,21.8,21.11,18.78,13.74,28.54,41.31,40.62,41.34,22.27,19.51,19.02,19.17,16.28,14.09,25.04,32.87,37.63,34.51,25.72,24.25,23.0,22.77,19.82,13936600,3250.1,-8494.11
Covenant College,1222.0,0.0,0.0,0.0,14.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.87,1551.0,9322.0,8378.0,515.0,1046.0,176.0,838.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.05,60.16,53.12,0.0,0.0,0.0,0.0,0.0,34.48,0.0,56.9,45.45,51.56,0.0,0.0,0.0,0.0,0.0,34.33,13939300,3496.52,-8537.51
Emmanuel College,1070.0,0.0,6.95,0.0,34.15,35.62,64.38,2.65,32.96,0.0,0.0,0.0,16.22,0.0,1083.0,9584.0,7591.0,324.0,1988.0,102.0,660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.34,0.0,0.0,0.0,38.55,37.5,39.39,50.88,14.63,12.05,16.67,16.67,0.0,0.0,28.99,36.08,33.78,34.94,21.51,20.12,23.2,22.97,0.0,13963000,3428.36,-8314.82
Emory University,1480.0,68.47,10.78,23.04,27.93,16.39,83.61,2.68,13.7,0.0,0.0,3.81,3.06,6.39,2341.0,8686.0,7486.0,748.0,1589.0,439.0,1441.0,59.54,82.17,79.09,0.0,85.05,0.0,0.0,0.0,0.0,0.0,30.79,84.63,88.65,0.0,89.36,0.0,0.0,0.0,0.0,0.0,32.76,85.23,89.83,89.49,92.02,3.12,1.54,3.1,1.69,1.92,36.4,82.93,84.52,90.35,84.36,2.92,2.64,4.29,3.53,4.85,13965800,3379.02,-8432.55
Fort Valley State University,921.0,80.68,20.3,56.74,61.6,34.23,65.77,1.78,32.46,0.0,0.0,0.0,8.38,9.48,1204.0,9327.0,4705.0,469.0,4765.0,150.0,640.0,13.83,24.6,33.12,39.67,24.81,22.34,29.37,29.3,27.27,25.94,4.58,22.17,35.38,36.01,30.42,25.59,18.87,22.16,19.93,20.28,0.0,24.84,37.86,40.28,34.29,18.49,16.77,17.14,23.61,17.14,0.0,21.96,34.12,35.7,28.18,26.85,21.63,25.45,20.58,22.38,13971900,3253.76,-8389.54
Georgia Institute of Technology-Main Campus,1423.0,83.47,8.43,19.13,24.55,14.92,85.08,1.66,13.25,2.5,3.55,3.25,5.67,6.13,2232.0,8876.0,7564.0,698.0,1650.0,358.0,1171.0,22.4,45.93,61.64,75.94,78.85,23.2,19.77,23.97,13.37,10.57,11.78,42.2,59.52,80.14,78.95,8.49,13.16,23.44,10.72,8.24,11.57,43.0,61.57,80.9,79.83,7.92,13.41,24.82,10.99,7.55,13.89,41.95,56.97,78.01,77.88,11.81,14.48,21.52,11.06,9.64,13975500,3377.24,-8439.48
Georgia Southwestern State University,1082.0,54.25,32.69,35.87,41.88,34.52,65.48,3.56,30.96,0.0,4.63,0.0,11.6,12.68,1110.0,9593.0,5724.0,308.0,3914.0,95.0,655.0,26.54,43.93,53.3,43.51,47.62,20.38,15.42,17.18,16.41,14.92,7.9,24.68,33.63,43.59,40.37,18.71,15.58,17.38,14.69,10.25,14.75,24.48,44.44,45.45,44.77,15.85,16.15,14.81,15.15,11.05,13.16,32.09,38.98,42.97,42.79,20.43,15.33,18.11,15.4,12.36,13976400,3205.47,-8421.77
Georgia College & State University,1176.0,82.05,5.82,16.94,20.73,19.91,80.09,0.98,18.92,0.0,6.7,15.51,18.45,15.95,1641.0,9369.0,7156.0,353.0,2337.0,221.0,849.0,0.0,32.47,41.82,51.22,58.18,0.0,23.38,20.0,12.2,10.0,0.0,39.76,53.62,60.02,63.42,0.0,9.21,8.73,6.81,5.28,7.74,41.67,58.82,60.6,62.41,9.72,8.33,6.64,6.6,5.67,12.5,37.11,47.89,58.28,63.19,11.97,11.86,11.64,7.76,5.83,13986100,3308.28,-8323.2
Georgia Southern University,1091.0,72.63,10.92,27.98,32.86,25.1,74.9,1.71,23.39,0.0,3.84,7.46,11.44,13.94,1587.0,9321.0,6861.0,409.0,2611.0,191.0,842.0,16.05,29.01,35.45,42.09,38.78,26.63,24.29,24.67,22.97,21.54,8.72,26.23,43.62,50.03,47.85,20.99,19.68,18.39,15.25,14.75,9.74,28.1,45.47,52.75,49.9,17.1,16.5,17.07,13.82,11.95,10.1,26.04,40.58,46.79,44.35,24.41,22.37,20.67,17.83,17.98,13993100,3242.62,-8178.4
Georgia State University,1165.0,71.34,29.77,43.37,51.7,32.32,67.68,3.54,28.78,1.86,3.49,6.21,9.48,12.07,2062.0,8859.0,5994.0,638.0,3185.0,345.0,1026.0,16.92,25.57,26.07,25.37,21.42,33.0,24.61,30.98,31.7,25.04,9.41,25.12,33.05,37.29,31.86,30.89,24.4,28.98,27.91,21.89,12.86,29.48,35.79,41.48,36.75,26.55,21.17,25.76,23.92,20.83,10.48,23.59,29.4,31.06,25.19,33.19,25.73,30.91,30.85,23.78,13994000,3375.27,-8438.67
University of Georgia,1386.0,82.69,6.45,20.99,24.97,18.15,81.85,1.55,16.6,1.74,3.02,5.91,7.58,10.13,1992.0,9148.0,7488.0,496.0,1857.0,278.0,1076.0,32.76,50.8,66.2,66.11,61.33,12.29,14.38,11.97,11.3,14.09,18.4,57.89,71.77,77.27,76.76,6.15,8.76,11.22,10.13,8.26,16.97,58.71,73.18,78.83,79.25,5.48,8.43,11.39,9.51,7.32,21.61,56.09,69.54,74.16,72.13,7.58,9.89,11.14,10.91,10.0,13995900,3395.63,-8337.4
Gordon State College,1010.0,72.75,19.22,44.26,49.73,37.81,62.19,2.64,35.17,0.0,0.0,5.49,10.13,12.09,1295.0,9444.0,6198.0,320.0,3370.0,153.0,614.0,13.23,16.58,23.99,24.63,21.23,38.1,35.23,29.15,27.6,22.1,7.49,14.11,15.8,20.57,19.98,37.18,32.0,31.05,26.07,19.33,11.31,11.79,19.41,21.84,23.96,33.22,26.42,28.27,23.55,18.4,7.49,15.21,17.01,21.36,19.57,38.33,34.05,31.18,27.06,20.43,13996800,3304.57,-8415.45
Life University,997.0,77.52,42.83,32.65,51.87,29.21,70.79,2.13,27.08,0.0,0.0,0.0,12.5,16.21,1914.0,8928.0,7583.0,833.0,1647.0,254.0,1003.0,32.29,39.64,45.16,43.03,54.81,17.71,19.82,15.05,14.55,13.33,20.97,32.03,40.52,37.74,35.51,34.95,26.8,30.07,21.38,21.01,31.17,44.05,42.11,47.62,54.24,32.47,23.81,27.63,0.0,12.71,22.44,31.11,42.35,37.92,45.86,27.8,23.89,22.94,0.0,17.24,14025200,3393.28,-8451.47
Mercer University,1338.0,59.39,38.55,21.89,36.35,28.2,71.8,2.28,25.92,3.23,3.77,8.19,9.77,14.14,1640.0,9252.0,6751.0,457.0,2683.0,209.0,841.0,32.63,47.85,45.67,52.98,53.75,23.65,19.48,20.47,18.54,17.32,10.97,55.97,67.78,62.09,62.41,10.84,9.35,7.41,7.94,7.37,15.11,55.53,69.37,64.49,67.82,11.56,11.05,7.59,6.82,7.26,19.23,51.96,53.79,54.5,54.19,16.92,13.7,14.99,15.88,14.39,14044700,3283.18,-8364.83
Morehouse College,1150.0,0.0,5.88,0.0,39.5,19.72,80.28,0.0,0.0,0.0,0.0,0.0,12.21,10.98,1620.0,8653.0,4349.0,978.0,4524.0,377.0,952.0,0.0,0.0,41.18,38.46,37.5,0.0,0.0,0.0,30.77,0.0,0.0,0.0,35.96,44.04,45.7,0.0,0.0,0.0,23.15,0.0,5.31,43.69,41.87,45.3,44.27,10.62,15.53,10.84,24.86,17.71,3.16,33.5,33.15,42.57,45.73,20.0,17.77,20.55,23.1,19.82,14055300,3374.6,-8441.49
Oglethorpe University,1223.0,72.86,12.35,31.79,36.86,19.92,80.08,0.0,0.0,0.0,0.0,13.82,23.49,17.13,2145.0,8812.0,6588.0,670.0,2532.0,372.0,1099.0,0.0,0.0,39.47,37.04,35.42,31.25,25.64,0.0,0.0,22.92,0.0,0.0,50.0,45.78,45.41,18.31,15.48,0.0,0.0,11.93,0.0,32.14,52.03,51.46,48.24,17.42,17.86,12.84,11.65,14.12,0.0,32.96,45.39,40.27,41.44,21.2,16.2,15.79,14.77,13.81,14069600,3387.54,-8433.37
Piedmont University,1129.0,69.75,29.82,24.11,37.72,31.49,68.51,3.92,27.57,0.0,0.0,7.52,16.61,13.61,1372.0,9363.0,8239.0,479.0,1242.0,170.0,795.0,38.46,54.13,53.49,56.15,60.37,16.24,22.02,14.73,18.46,12.2,12.98,40.54,49.83,52.21,58.95,17.11,14.19,12.62,7.63,4.91,19.88,47.37,50.81,51.04,61.65,13.04,12.78,10.48,0.0,0.0,19.32,42.65,50.98,54.42,58.54,18.98,18.01,14.38,0.0,0.0,14081800,3456.6,-8354.21
Shorter University,1072.0,60.85,39.2,32.48,43.6,35.38,64.62,3.08,32.31,0.0,0.0,7.65,8.96,13.45,1517.0,9221.0,6699.0,506.0,2691.0,198.0,689.0,25.2,43.4,48.72,56.17,34.47,25.2,32.7,26.67,22.55,29.63,11.35,30.03,40.75,44.13,39.07,21.47,20.99,17.87,11.75,12.85,14.95,42.65,49.18,51.82,37.5,19.63,20.59,13.93,9.49,17.5,15.2,31.15,42.09,48.43,36.72,23.39,26.23,23.47,18.64,21.72,14098800,3425.75,-8519.65
Thomas University,1012.0,50.52,54.09,39.27,45.35,45.51,54.49,6.68,38.83,0.0,0.0,0.0,0.0,0.0,1089.0,9652.0,6082.0,295.0,3605.0,64.0,628.0,36.22,44.06,37.06,42.36,44.33,26.77,19.58,23.08,21.18,15.98,22.32,30.47,34.35,42.06,37.5,17.86,17.97,19.85,18.69,16.07,27.5,43.9,31.91,38.46,47.62,0.0,0.0,21.28,21.15,0.0,30.15,36.52,36.56,43.02,40.91,0.0,0.0,21.59,20.16,0.0,14116700,3081.56,-8396.36
Toccoa Falls College,1094.0,70.19,21.01,28.64,37.37,29.96,70.04,2.37,27.59,0.0,0.0,0.0,6.59,0.0,1411.0,9401.0,8434.0,465.0,1058.0,161.0,666.0,17.39,33.93,36.36,42.11,31.03,28.99,0.0,32.73,26.32,36.21,12.03,35.34,48.9,50.45,57.28,21.99,0.0,20.88,17.27,11.17,18.87,47.06,56.79,48.35,62.65,13.21,11.76,14.81,12.09,0.0,10.29,28.49,40.38,49.7,46.41,28.92,23.66,28.21,22.16,0.0,14118500,3459.34,-8335.76
Truett McConnell University,1110.0,66.04,11.8,22.22,27.39,28.95,71.05,0.0,0.0,0.0,0.0,0.0,11.83,13.25,1327.0,9358.0,8095.0,493.0,1385.0,148.0,692.0,0.0,0.0,0.0,48.84,39.02,41.67,0.0,45.45,27.91,0.0,0.0,0.0,0.0,43.35,36.84,23.08,0.0,18.41,14.29,0.0,0.0,43.43,41.89,42.86,40.98,21.13,13.13,14.86,12.99,16.39,0.0,24.52,26.17,44.97,35.76,27.41,19.35,24.16,18.34,19.87,14123700,3459.63,-8374.89
Valdosta State University,1044.0,66.77,21.04,35.18,41.83,30.75,69.25,2.16,28.6,0.0,4.13,7.32,13.0,16.91,1369.0,9417.0,6791.0,398.0,2714.0,156.0,716.0,19.84,24.63,31.25,29.8,34.06,21.68,25.26,23.75,27.76,21.85,6.31,23.46,32.38,33.18,32.8,18.88,19.06,20.8,22.93,17.03,9.21,25.04,35.46,36.82,34.6,16.71,17.32,17.09,21.94,15.2,8.77,23.21,30.83,30.89,32.46,20.44,21.29,23.14,24.61,18.82,14126400,3084.74,-8328.93
Wesleyan College,1134.0,67.5,29.09,38.97,47.27,35.16,64.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1353.0,9381.0,6405.0,475.0,3069.0,162.0,747.0,47.22,29.79,54.29,57.58,0.0,0.0,0.0,0.0,0.0,0.0,21.05,39.39,45.19,41.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.83,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.15,49.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14132500,3287.6,-8371.54
University of West Georgia,1058.0,62.79,15.46,36.65,40.7,31.88,68.12,1.8,30.08,1.73,3.1,6.53,11.12,12.32,1471.0,9369.0,7151.0,394.0,2360.0,154.0,709.0,39.43,39.75,41.62,52.02,46.22,15.47,19.67,20.3,18.29,20.14,7.46,24.71,38.36,48.45,45.63,24.17,23.34,20.45,17.21,15.7,13.76,31.72,42.24,52.99,49.18,19.49,18.47,17.65,14.05,12.89,12.01,25.51,37.51,47.59,44.66,24.02,24.21,21.48,18.55,17.75,14133400,3357.36,-8509.78
University of Hawaii at Hilo,1040.0,86.15,31.0,35.86,51.46,36.55,63.45,1.9,34.65,3.33,7.76,9.65,10.78,12.93,1622.0,8838.0,4907.0,1007.0,210.0,2052.0,844.0,35.29,42.92,40.52,46.44,49.2,14.93,21.24,21.55,20.74,20.13,9.98,19.19,32.7,41.22,43.3,19.76,21.71,17.97,15.6,13.4,16.57,27.13,34.59,42.29,46.85,18.23,25.0,19.46,17.62,14.41,18.11,26.17,35.26,43.26,44.87,18.3,20.4,18.95,17.3,16.2,14156500,1970.12,-15508.08
University of Hawaii at Manoa,1175.0,79.28,24.28,26.55,39.36,33.84,66.16,2.48,31.36,0.0,4.03,6.24,9.57,11.14,1896.0,8167.0,4313.0,856.0,304.0,3094.0,976.0,43.65,52.35,56.96,60.7,61.01,13.74,16.61,16.96,14.79,11.76,14.22,35.64,50.96,57.28,59.49,11.35,14.52,14.32,12.92,8.98,17.67,39.68,54.5,60.46,62.3,10.68,13.49,12.91,12.29,9.49,22.59,40.15,51.56,57.19,58.92,12.43,15.78,15.9,13.86,9.8,14157400,2129.86,-15781.9
Hawaii Pacific University,1183.0,52.69,34.03,22.47,32.75,35.84,64.16,2.44,33.4,0.0,0.0,10.28,17.56,17.74,1780.0,8164.0,4616.0,954.0,501.0,2737.0,864.0,25.64,26.06,24.7,35.38,42.75,21.79,26.06,26.32,16.96,13.25,7.65,29.92,21.7,36.74,41.13,17.78,23.36,32.42,18.73,10.94,13.09,35.43,25.41,40.0,47.19,19.9,24.57,29.83,15.38,13.85,14.73,25.63,21.84,34.77,40.06,18.97,24.11,30.19,18.82,11.3,14164400,2131.03,-15785.96
University of Hawaii-West Oahu,1028.0,66.06,56.62,29.6,50.24,42.54,57.46,2.25,40.29,0.0,0.0,0.0,7.86,0.0,1701.0,8168.0,2459.0,800.0,257.0,3904.0,718.0,37.07,41.16,47.9,46.07,46.81,15.8,19.0,18.02,21.14,19.15,19.65,32.28,46.64,40.5,50.28,21.97,23.42,15.19,16.13,11.3,29.25,39.31,49.29,48.2,51.32,20.41,20.69,15.0,17.99,18.42,28.15,36.55,46.9,42.44,47.52,18.46,21.09,17.34,19.25,15.67,14198100,2135.53,-15805.64
Boise Bible College,1048.0,0.0,16.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428.0,9430.0,9116.0,651.0,66.0,123.0,649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14209000,4365.87,-11629.13
University of Idaho,1119.0,79.8,16.95,25.29,34.53,31.79,68.21,3.33,28.46,0.0,3.76,5.99,6.39,9.35,1658.0,9394.0,9023.0,607.0,107.0,170.0,938.0,33.96,44.97,51.59,52.49,54.62,21.89,21.81,22.61,25.41,20.8,9.05,32.98,50.67,54.78,54.15,21.91,22.08,21.12,19.67,17.66,12.86,35.95,55.91,57.64,59.0,18.67,18.95,16.39,16.52,14.16,13.99,34.56,48.09,52.79,51.98,23.52,23.72,24.05,22.8,20.4,14228500,4672.74,-11701.42
The College of Idaho,1181.0,0.0,5.82,0.0,23.27,26.81,73.19,0.0,0.0,0.0,0.0,0.0,6.83,0.0,1555.0,9210.0,8783.0,1073.0,96.0,163.0,713.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.58,56.25,67.06,72.13,12.66,0.0,0.0,0.0,0.0,0.0,43.07,53.85,62.93,60.0,16.28,0.0,0.0,0.0,0.0,14229400,4365.23,-11667.8
Northwest Nazarene University,1112.0,52.58,32.82,17.89,29.28,33.88,66.12,4.3,29.59,0.0,0.0,0.0,0.0,6.81,1507.0,9159.0,8672.0,1078.0,120.0,200.0,681.0,32.63,48.76,58.95,60.0,67.29,17.89,19.83,15.79,11.43,11.21,9.54,43.29,59.11,61.16,60.85,14.5,16.02,18.62,12.81,9.69,13.39,51.79,69.49,67.97,65.38,12.6,15.18,10.17,10.16,0.0,16.96,42.08,53.57,56.62,61.28,16.96,18.33,21.88,13.7,0.0,14246100,4356.24,-11656.58
Brigham Young University-Idaho,1129.0,66.72,38.41,20.99,38.56,24.35,75.65,1.1,23.25,0.0,1.77,2.77,5.86,9.0,1568.0,9309.0,8914.0,817.0,187.0,173.0,806.0,14.26,30.39,41.16,54.89,59.69,22.4,30.55,31.65,27.84,22.51,4.73,12.49,25.23,39.16,46.5,35.72,32.97,30.24,29.59,21.91,9.79,23.94,34.53,49.49,55.6,26.93,29.38,30.09,26.95,20.33,8.43,18.75,31.12,43.75,48.87,31.98,33.76,31.53,30.2,23.43,14252200,4381.84,-11178.24
Aurora University,1062.0,57.6,28.79,24.32,33.9,45.69,54.31,7.45,38.25,0.0,0.0,4.58,8.03,10.04,1801.0,8924.0,8027.0,1167.0,1007.0,267.0,881.0,49.53,61.09,67.8,68.37,67.48,11.36,13.98,12.99,11.14,12.6,18.83,48.87,61.72,61.72,57.18,14.27,13.91,11.53,9.05,8.65,23.34,53.99,62.55,66.94,67.16,12.2,13.31,11.95,6.05,6.97,27.11,51.68,63.83,62.68,57.91,13.95,14.11,11.98,10.57,10.45,14311800,4175.36,-8834.9
Blackburn College,1020.0,0.0,14.73,0.0,49.28,43.96,56.04,3.02,40.93,0.0,0.0,0.0,0.0,0.0,1091.0,9723.0,9024.0,241.0,682.0,76.0,560.0,0.0,0.0,42.86,0.0,38.71,0.0,0.0,0.0,32.26,0.0,0.0,0.0,42.33,0.0,45.4,0.0,0.0,0.0,19.57,0.0,0.0,48.84,39.53,35.14,63.41,0.0,0.0,25.58,0.0,0.0,0.0,22.75,43.09,34.09,39.22,0.0,0.0,23.2,0.0,0.0,14328800,3928.79,-8987.02
Bradley University,1205.0,77.11,4.77,17.62,20.46,23.6,76.4,1.4,22.21,0.0,2.35,5.83,9.24,11.4,1821.0,9215.0,8572.0,542.0,757.0,286.0,970.0,40.91,68.0,55.32,63.64,63.04,0.0,0.0,0.0,0.0,0.0,6.91,53.24,71.24,73.5,69.68,0.0,0.0,0.0,0.0,0.0,8.66,59.58,78.51,77.24,73.8,5.98,5.61,4.68,4.6,5.79,7.86,49.92,64.66,69.45,66.26,7.57,7.06,8.74,6.93,7.6,14335800,4069.69,-8961.68
University of Chicago,1535.0,0.0,6.74,0.0,31.96,20.24,79.76,2.13,18.11,0.0,0.0,0.0,0.0,0.0,2181.0,8508.0,7610.0,1081.0,1123.0,526.0,1509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.07,94.95,92.7,79.29,0.0,4.59,0.0,0.0,8.45,0.0,80.62,85.8,89.02,81.08,0.0,6.88,0.0,0.0,8.11,14405000,4178.8,-8759.95
Eastern Illinois University,1036.0,72.31,18.44,31.99,39.42,34.22,65.78,1.93,32.29,0.0,3.42,6.67,10.58,9.86,1535.0,9308.0,8563.0,489.0,854.0,235.0,878.0,37.79,47.84,54.29,57.23,52.31,14.89,14.22,20.41,16.92,16.92,16.91,38.06,51.97,55.34,61.73,15.68,12.47,13.51,11.81,9.19,22.55,49.15,62.44,63.19,64.36,12.09,8.53,7.77,8.46,6.76,21.32,36.94,48.96,52.96,58.36,16.73,14.25,16.9,14.17,12.05,14489200,3947.98,-8817.57
Elmhurst University,1145.0,74.36,19.88,21.64,32.12,35.19,64.81,3.9,31.29,0.0,2.78,5.64,8.7,15.3,1985.0,8379.0,8064.0,1193.0,729.0,512.0,1033.0,31.76,48.47,50.0,64.1,54.14,16.22,22.09,25.64,17.09,15.04,19.88,56.63,68.87,69.59,64.23,10.86,11.29,8.39,5.67,6.13,19.51,62.55,69.03,73.15,64.2,12.68,7.66,11.5,7.41,7.0,22.95,51.58,63.45,66.67,61.91,11.56,16.14,12.0,7.66,7.83,14496200,4189.72,-8794.54
Eureka College,1017.0,65.52,7.3,24.18,27.2,34.16,65.84,0.0,0.0,0.0,0.0,0.0,0.0,15.18,1422.0,9620.0,8834.0,373.0,758.0,109.0,656.0,0.0,0.0,0.0,50.0,47.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.53,50.25,0.0,0.0,0.0,0.0,0.0,0.0,37.88,54.24,63.46,44.44,0.0,0.0,0.0,0.0,0.0,0.0,39.47,51.01,42.03,51.31,0.0,0.0,0.0,0.0,0.0,14497100,4071.48,-8926.96
Governors State University,951.0,72.94,54.87,48.14,61.75,42.62,57.38,6.01,36.61,0.0,0.0,4.58,8.69,9.33,1338.0,9249.0,5688.0,821.0,3584.0,147.0,699.0,34.83,39.51,39.56,54.45,57.16,15.36,17.85,22.92,15.84,15.05,26.86,37.9,38.35,58.67,68.33,20.0,21.35,23.87,15.56,11.67,33.99,40.86,39.56,57.22,57.39,14.29,17.74,24.18,15.56,15.91,30.14,38.3,38.87,55.77,61.23,18.46,19.94,23.22,15.77,13.62,14533600,4144.91,-8771.64
Greenville University,1008.0,54.17,20.48,25.54,31.4,31.13,68.87,0.0,0.0,0.0,10.22,9.87,14.06,17.79,1302.0,9622.0,8928.0,333.0,667.0,115.0,687.0,44.87,36.23,50.0,41.54,23.66,17.95,23.19,0.0,16.92,30.11,13.25,43.72,49.83,55.89,25.4,13.25,13.02,0.0,10.1,24.13,14.42,45.92,56.56,63.72,29.92,12.5,10.2,9.84,10.62,29.92,23.77,39.78,46.35,48.59,22.78,15.25,18.28,12.45,11.65,23.49,14537200,3889.42,-8940.82
University of Illinois Chicago,1212.0,78.79,12.42,38.77,43.74,44.4,55.6,10.0,34.39,0.0,2.19,4.57,8.41,11.89,1853.0,7913.0,6858.0,1769.0,1409.0,607.0,1054.0,44.27,63.28,63.18,71.28,65.63,9.6,9.54,10.96,7.73,9.44,18.9,40.12,61.78,66.45,63.53,13.91,11.98,9.48,7.99,6.18,24.28,49.37,66.53,70.1,69.71,9.95,7.27,7.27,7.7,6.01,22.0,41.31,60.43,66.21,61.69,14.29,13.02,10.47,8.03,7.01,14560000,4187.18,-8765.05
Benedictine University,1168.0,51.28,26.02,25.49,32.2,34.32,65.68,3.81,30.51,0.0,3.68,7.27,13.13,17.95,2052.0,8740.0,7709.0,929.0,1210.0,490.0,1067.0,40.48,54.38,61.72,46.15,29.67,14.29,16.59,14.84,21.85,28.13,17.7,41.39,50.08,49.38,38.1,13.52,13.17,14.18,10.25,15.96,17.54,45.94,50.74,52.19,39.39,12.32,13.43,13.6,10.77,13.64,25.75,43.84,54.5,47.14,33.5,14.21,14.24,14.69,14.56,22.76,14561900,4177.76,-8809.73
University of Illinois Urbana-Champaign,1422.0,89.67,3.73,24.08,26.53,24.93,75.07,3.56,21.37,0.0,2.25,3.9,5.72,6.76,1974.0,8751.0,8007.0,841.0,976.0,459.0,1193.0,34.64,62.5,70.28,73.66,71.55,13.97,10.87,10.85,9.76,9.21,12.45,66.85,80.15,82.8,81.08,8.11,6.25,5.5,4.7,4.63,13.48,72.21,82.84,85.38,83.74,6.81,4.52,4.14,3.69,3.85,13.15,62.23,77.1,79.89,77.91,9.57,7.96,7.07,5.96,5.72,14563700,4010.47,-8822.91
Illinois Wesleyan University,1239.0,0.0,0.0,0.0,15.1,17.73,82.27,0.0,0.0,0.0,0.0,6.33,11.59,17.0,2135.0,8971.0,8360.0,616.0,808.0,412.0,1182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.16,77.78,74.18,72.16,0.0,0.0,0.0,0.0,6.25,0.0,68.32,77.22,73.43,72.5,0.0,0.0,0.0,0.0,5.0,14564600,4048.99,-8899.2
Illinois College,1063.0,0.0,4.55,0.0,27.7,31.1,68.9,2.24,28.86,0.0,0.0,0.0,9.9,14.69,1322.0,9672.0,9194.0,269.0,468.0,93.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.66,81.25,70.0,64.37,0.0,0.0,0.0,0.0,0.0,0.0,57.22,59.57,57.92,51.66,0.0,0.0,0.0,0.0,0.0,14569100,3973.13,-9024.62
