School Name,SAT Average Overall,"% IndepStudents, LowIncome $0-$30,000",% Independent Students,"% DepStudents, LowIncome $0-$30,000","% aided students family income $0-$30,000",% First Generation Students,"% First Gen, Parents w/College","% First Gen, Parents w/MiddleSchool","% First Gen, Parents w/HighSchool","% FirstGenStudents, Completed 2 Years","% FirstGenStudents, Completed 3 Years","% FirstGenStudents, Completed 4 Years","% FirstGenStudents, Completed 6 Years","% FirstGenStudents, Completed 8 Years",% Students W/Bachelors Degree at 25 Years Old,% Students Born Within the U.S.,% Population of White Students by ZIP Code,% Population of Hispanic Students by ZIP Code,% Population of Black Students by ZIP Code,% Population of Asian Students by ZIP Code,% Students W/Professional Deg at 25YrsbyZIP,% IndepStudents Completed 2 Years,% IndepStudents Completed 3 Years,% IndepStudents Completed 4 Years,% IndepStudents Completed 6 Years,% IndepStudents Completed 8 Years,% IndepStudents Withdrawn 2 Years,% IndepStudents Withdrawn 3 Years,% IndepStudents Withdrawn 4 Years,% IndepStudents Withdrawn 6 Years,% IndepStudents Withdrawn 8 Years,% DepStudents Completed 2 Years,% DepStudents Completed 3 Years,% DepStudents Completed 4 Years,% DepStudents Completed 6 Years,% DepStudents Completed 8 Years,% DepStudents Withdrawn 2 Years,% DepStudents Withdrawn 3 Years,% DepStudents Withdrawn 4 Years,% DepStudents Withdrawn 6 Years,% DepStudents Withdrawn 8 Years,% NonFirstGenStudents Completed 2 Years,% NonFirstGenStudents Completed 3 Years,% NonFirstGenStudents Completed 4 Years,% NonFirstGenStudents Completed 6 Years,% NonFirstGenStudents Completed 8 Years,% NonFirstGenStudents Withdrawn 2 Years,% NonFirstGenStudents Withdrawn 3 Years,% NonFirstGenStudents Withdrawn 4 Years,% NonFirstGenStudents Withdrawn 6 Years,% NonFirstGenStudents Withdrawn 8 Years,% FirstGenStudents Completed 2 Years,% FirstGenStudents Completed 3 Years,% FirstGenStudents Completed 4 Years,% FirstGenStudents Completed 6 Years,% FirstGenStudents Completed 8 Years,% FirstGenStudents Withdrawn 2 Years,% FirstGenStudents Withdrawn 3 Years,% FirstGenStudents Withdrawn 4 Years,% FirstGenStudents Withdrawn 6 Years,% FirstGenStudents Withdrawn 8 Years,id,Latitude,Longitutde
Southern Methodist University,1448.0,72.83,8.36,21.9,26.16,15.68,84.32,1.94,13.75,0.0,0.0,9.09,7.34,10.14,2528.0,8532.0,7608.0,1617.0,973.0,479.0,1339.0,41.18,45.16,50.0,67.74,60.53,0.0,17.74,25.0,15.05,18.42,12.61,65.4,61.76,70.76,72.7,0.0,9.0,19.41,11.52,6.94,9.97,67.68,62.5,72.43,72.46,4.27,8.14,21.34,10.03,4.81,21.96,58.28,57.85,68.08,70.41,10.2,11.92,18.18,14.12,11.51,22824600,3284.36,-9678.34
Southwestern Assemblies of God University,1013.0,65.97,33.48,31.24,42.87,38.15,61.85,4.24,33.91,0.0,0.0,0.0,7.86,11.68,1405.0,9130.0,7669.0,1729.0,1052.0,193.0,641.0,11.59,27.23,34.0,34.33,36.89,36.59,37.17,37.5,34.33,26.23,8.88,27.27,35.84,40.7,29.72,25.0,23.68,29.82,20.93,26.18,9.15,33.14,37.84,42.04,34.81,17.68,23.43,27.7,14.65,25.93,9.81,24.88,34.37,38.08,30.17,32.24,29.72,33.92,27.76,26.28,22832500,3240.44,-9685.35
Southwestern University,1267.0,0.0,6.57,0.0,21.51,20.34,79.66,0.0,0.0,0.0,0.0,7.79,16.33,12.33,2229.0,8856.0,7965.0,2064.0,693.0,337.0,1165.0,0.0,0.0,0.0,0.0,51.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.89,0.0,0.0,0.0,0.0,0.0,0.0,63.78,77.05,71.6,72.73,0.0,0.0,0.0,0.0,0.0,0.0,57.72,70.13,56.63,62.33,0.0,0.0,0.0,0.0,0.0,22834300,3063.43,-9766.57
Stephen F Austin State University,1076.0,71.2,16.28,28.28,35.27,35.35,64.65,3.62,31.73,0.0,2.99,5.56,10.1,13.15,1540.0,9028.0,7342.0,1505.0,1502.0,244.0,718.0,36.56,45.41,56.26,53.76,50.55,14.62,17.69,17.14,17.14,18.38,10.98,36.21,50.62,54.03,45.03,16.32,14.13,13.03,11.36,10.81,13.54,42.22,55.6,60.0,51.45,11.76,12.2,10.37,9.04,10.57,15.51,35.91,50.1,51.93,44.56,17.64,15.71,14.95,13.4,12.51,22843100,3162.11,-9464.91
Texas State University,1088.0,75.41,16.51,28.08,35.89,35.83,64.17,4.01,31.82,0.0,3.15,5.23,8.18,9.33,1917.0,8841.0,7607.0,2862.0,720.0,265.0,921.0,33.31,52.76,61.25,64.85,61.27,15.26,15.77,14.77,14.61,16.18,11.33,33.96,50.95,58.6,57.89,15.69,15.36,14.93,13.93,14.04,14.88,39.55,56.85,65.04,63.24,13.19,13.98,12.43,10.53,12.41,14.89,36.51,51.23,57.92,57.08,16.58,15.99,15.83,15.34,15.33,22845900,2988.89,-9794.3
Southwestern Adventist University,1031.0,61.96,22.89,37.1,42.79,34.16,65.84,5.51,28.65,0.0,0.0,0.0,10.27,11.9,1403.0,8643.0,7361.0,2049.0,1116.0,316.0,714.0,21.28,33.33,37.93,46.27,39.13,29.79,0.0,24.14,22.39,20.29,10.53,29.68,38.32,43.75,34.94,15.04,0.0,16.17,15.91,15.06,0.0,36.84,36.59,39.66,41.79,19.3,17.54,17.07,0.0,0.0,0.0,27.86,39.16,45.95,33.93,18.7,21.43,18.88,0.0,0.0,22846800,3239.76,-9732.7
Sul Ross State University,941.0,77.86,31.09,43.14,53.93,46.27,53.73,8.7,37.57,0.0,0.0,0.0,7.31,7.95,1044.0,8024.0,7582.0,6173.0,343.0,76.0,526.0,21.11,29.41,17.06,12.5,16.67,33.33,23.04,33.65,39.29,43.59,13.03,18.78,23.03,14.14,11.46,27.99,31.66,31.33,40.94,38.85,17.43,21.24,22.41,16.82,17.98,20.18,27.43,29.31,34.58,30.34,14.84,22.22,20.97,12.88,12.5,31.35,29.33,32.58,41.54,41.88,22850100,3036.31,-10365.15
Tarleton State University,1050.0,60.72,32.27,25.69,36.99,42.1,57.9,4.94,37.16,0.0,3.03,4.13,15.15,14.31,1387.0,9170.0,8049.0,1510.0,844.0,143.0,638.0,40.74,52.83,61.17,42.59,41.14,16.48,14.75,15.06,10.5,15.3,13.78,31.82,47.41,52.28,49.06,17.98,17.37,15.26,15.46,17.31,18.97,39.89,50.94,52.99,45.01,15.0,14.42,13.09,10.46,14.21,22.71,37.71,52.13,46.91,45.9,18.28,17.2,15.83,14.23,17.03,22852900,3221.5,-9821.49
Texas A & M University-Kingsville,1006.0,69.18,31.37,43.12,51.29,45.88,54.12,8.3,37.58,0.0,0.0,30.35,15.74,11.82,1028.0,8820.0,7312.0,6386.0,412.0,113.0,542.0,30.29,47.35,14.68,42.4,46.51,22.41,23.67,8.56,13.73,19.91,11.49,28.05,30.04,37.77,41.44,23.14,22.53,12.04,21.77,20.01,14.64,31.01,31.52,39.41,48.99,17.5,15.68,8.84,15.04,15.83,14.47,31.16,22.79,39.57,42.44,24.28,24.34,11.12,19.42,20.67,22870500,2752.52,-9788.24
Texas A & M University-College Station,1275.0,79.5,6.7,23.52,27.27,29.95,70.05,4.47,25.48,0.0,1.72,3.15,5.79,6.41,1890.0,8844.0,7719.0,2194.0,891.0,314.0,978.0,40.48,67.27,76.08,75.09,71.34,8.79,8.18,7.4,9.3,12.78,16.12,56.41,76.45,79.95,78.35,7.23,6.17,6.05,5.23,4.98,17.04,60.11,80.69,84.53,81.28,5.77,4.64,4.38,3.85,3.79,18.35,55.26,73.66,76.57,75.44,8.48,7.49,7.31,6.59,6.82,22872300,3061.87,-9633.65
